name,address,district,lat,lng,mapped_region_id
여수 테디베어뮤지엄,전남 여수시 소라면 안심산길 155,,34.7478693,127.6414027,jeonnam
옥천전통문화체험관,충북 옥천군 옥천읍 향수길 100,,36.316312,127.5852938,chungbuk
에코리움,경기 오산시 오산천로 52,오산시,37.1383718,127.0636735,gyeonggi
화성동탄 신도시 홍보관,경기 화성시 노작로 158 시립 반석산 에코스쿨,화성시,37.2024511,127.0744692,gyeonggi
보라매안전체험관,서울 동작구 여의대방로20나길 16,동작구,37.4927712,126.9170249,seoul
전쟁과여성인권박물관,서울 마포구 월드컵북로11길 20 전쟁과여성인권박물관,마포구,37.5600957,126.9148848,seoul
전북 무주군 설천면 소천리 태권도원 체험관 YAP,전북 무주군 설천면 소천리,,36.009244,127.778707,jeonbuk
태권도원 국립 태권도박물관,전북 무주군 설천면 무설로 1482,,36.0043141,127.780501,jeonbuk
배다리성냥마을박물관,인천 동구 금곡로 19,동구,37.4729461,126.6377266,incheon
판교박물관,경기 성남시 분당구 판교로 191 판교박물관,성남시,37.4009612,127.0956605,gyeonggi
경남 밀양시 산내면 산내로 290,경남 밀양시 산내면 산내로 290 버그밀 곤충체험관,,35.5816131,128.8791953,gyeongnam
등잔박물관,경기 용인시 처인구 모현읍 능곡로56번길 8,용인시,37.3365998,127.1778086,gyeonggi
한중문화관,인천 중구 제물량로 238 한중문화관,중구,37.4735561,126.6187734,incheon
큰물농장,경기 남양주시 와부읍 석실로 46-11,남양주시,37.579679,127.2307003,gyeonggi
강원종합박물관,강원 삼척시 신기면 강원남부로 3016,,37.3512154,129.0864625,gangwon
경기 파주시 문발로 253,경기 파주시 문발로 253,파주시,37.7167322,126.6888927,gyeonggi
전남 여수시 하멜로 96,전남 여수시 하멜로 96,,34.7366267,127.7486166,jeonnam
현대모터스튜디오고양,경기 고양시 일산서구 킨텍스로 217-6 현대 모터스튜디오 고양,고양시,37.6657841,126.7481739,gyeonggi
누들플랫폼,인천 중구 신포로27번길 36 누들플랫폼,중구,37.4725341,126.6236584,incheon
웅진씽크빅 웅진역사관,"경기 파주시 회동길 20 (문발동, (주)웅진씽크빅)",파주시,37.7045726,126.6849203,gyeonggi
펄벅기념관,경기 부천시 소사구 성주로214번길 61,부천시,37.4754732,126.7816012,gyeonggi
부천시춘의동체육공원 부천활박물관,경기 부천시 원미구 소사로 482 부천종합운동장 잔디광장,부천시,37.5041609,126.7982287,gyeonggi
미호박물관,경기 남양주시 고산로126번길 15-2 미호박물관,남양주시,37.5927008,127.1806028,gyeonggi
