Original,TranslationFormula
"서울 성동구 행당1동 행당동 고산자로12길","=GOOGLETRANSLATE(A46, ""ko"", ""ja"")"
"예매가능시간: 관람 2시간 전까지평일 16시30분 / 주말 및 공휴일 11시, 14시, 16시30분 / 월,화 공연없음
※ 6월 3일(수) 11시, 14시, 16시30분","=GOOGLETRANSLATE(A47, ""ko"", ""ja"")"
"가족뮤지컬 〈뽀로로와 신비한 여행〉 - 서울앵콜","=GOOGLETRANSLATE(A48, ""ko"", ""ja"")"
"용산아트홀 대극장 미르","=GOOGLETRANSLATE(A49, ""ko"", ""ja"")"
"서울 용산구 녹사평대로 150","=GOOGLETRANSLATE(A50, ""ko"", ""ja"")"
"예매가능시간: 관람 2시간 전까지2026년 5월 2일(토) ~ 5월 3일(일) 11시 ,14시, 16시 30분 (총6회차)","=GOOGLETRANSLATE(A51, ""ko"", ""ja"")"
"가족뮤지컬 〈설민석의 한국사 대모험 : 안중근〉 - 서울","=GOOGLETRANSLATE(A52, ""ko"", ""ja"")"
"예매가능시간: 관람 2시간 전까지평일 16시 30분 / 주말 및 공휴일 11시, 14시, 16시30분
* 3/28(토), 3/29(일) 11시, 14시
* 월,화 공연없음","=GOOGLETRANSLATE(A53, ""ko"", ""ja"")"
"가족뮤지컬 〈에그박사 : 해적 보물섬의 비밀〉 - 서울앵콜","=GOOGLETRANSLATE(A54, ""ko"", ""ja"")"
"올림픽공원 우리금융아트홀","=GOOGLETRANSLATE(A55, ""ko"", ""ja"")"
"서울 송파구 올림픽로 424","=GOOGLETRANSLATE(A56, ""ko"", ""ja"")"
"예매가능시간: 관람 2시간 전까지수,목,금 16시 30분 / 주말, 공휴일 11시, 14시, 16시 30분
*6월 3일(수) 14시, 16시 30분","=GOOGLETRANSLATE(A57, ""ko"", ""ja"")"
"가족뮤지컬 누가 내 머리에 똥 쌌어 - 서울 강북","=GOOGLETRANSLATE(A58, ""ko"", ""ja"")"
"꿈의숲 아트센터 퍼포먼스홀","=GOOGLETRANSLATE(A59, ""ko"", ""ja"")"
"서울 강북구 월계로 173","=GOOGLETRANSLATE(A60, ""ko"", ""ja"")"
"2026년 4월 18일(토) 11시, 13시30분, 16시","=GOOGLETRANSLATE(A61, ""ko"", ""ja"")"
"가족뮤지컬 아기돼지 삼형제 - 서울 강북","=GOOGLETRANSLATE(A62, ""ko"", ""ja"")"
"2026년 5월 16일(토) 11시, 13시30분, 16시","=GOOGLETRANSLATE(A63, ""ko"", ""ja"")"
"가족뮤지컬 전설 여우신 - 서울 도봉","=GOOGLETRANSLATE(A64, ""ko"", ""ja"")"
"도봉구민회관 하모니홀","=GOOGLETRANSLATE(A65, ""ko"", ""ja"")"
"서울 도봉구 도봉로 552","=GOOGLETRANSLATE(A66, ""ko"", ""ja"")"
"예매가능시간: 전일17시(월~토 관람 시)까지/전일 11시(일요일 관람 시)까지2026년 5월 9일(토) 11시, 13시30분","=GOOGLETRANSLATE(A67, ""ko"", ""ja"")"
