Original,TranslationFormula
경상북도 경산시 진량읍 해든길 11 1층 다니옹,"=GOOGLETRANSLATE(A2, ""ko"", ""zh-cn"")"
입문반 - 3개월,"=GOOGLETRANSLATE(A3, ""ko"", ""zh-cn"")"
서울 · 구로구 · 디지털로32가길,"=GOOGLETRANSLATE(A4, ""ko"", ""zh-cn"")"
서울 구로구 디지털로32가길,"=GOOGLETRANSLATE(A5, ""ko"", ""zh-cn"")"
나만의 워치 스트랩 만들기 원데이 클래스,"=GOOGLETRANSLATE(A6, ""ko"", ""zh-cn"")"
부산광역시 부산진구 전포2동 664-6 1층 스그니 가죽공방,"=GOOGLETRANSLATE(A7, ""ko"", ""zh-cn"")"
부산광역시 부산진구 전포2동 664-6 1층(스그니 가죽공방),"=GOOGLETRANSLATE(A8, ""ko"", ""zh-cn"")"
별자리 무드 캔버스 만들기,"=GOOGLETRANSLATE(A9, ""ko"", ""zh-cn"")"
부산광역시 해운대구 중1동 1199-5 415호,"=GOOGLETRANSLATE(A10, ""ko"", ""zh-cn"")"
너무 맛있어서 소개할 말이 없는 브라우니 만들기,"=GOOGLETRANSLATE(A11, ""ko"", ""zh-cn"")"
경기도 · 화성시 · 영천동,"=GOOGLETRANSLATE(A12, ""ko"", ""zh-cn"")"
경기도 화성시 영천동,"=GOOGLETRANSLATE(A13, ""ko"", ""zh-cn"")"
"102,000원","=GOOGLETRANSLATE(A14, ""ko"", ""zh-cn"")"
도자기에 흙으로 경험과 시간을 그리는 색소지 접시 만들기 클래스,"=GOOGLETRANSLATE(A15, ""ko"", ""zh-cn"")"
서울특별시 강동구 고덕동 아리수로74길 35 101호,"=GOOGLETRANSLATE(A16, ""ko"", ""zh-cn"")"
자운고/청비고 원데이클레스,"=GOOGLETRANSLATE(A17, ""ko"", ""zh-cn"")"
즉석 커스텀 티셔츠 만들기 체험 티셔츠체험/ 원데이 클래스 / 단체클래스,"=GOOGLETRANSLATE(A18, ""ko"", ""zh-cn"")"
서울특별시 광진구 군자동 동일로56길 60 2층,"=GOOGLETRANSLATE(A19, ""ko"", ""zh-cn"")"
백드롭페인팅 나이프화 원데이 클래스,"=GOOGLETRANSLATE(A20, ""ko"", ""zh-cn"")"
부산광역시 북구 화명동 금곡대로 270 대림상가 310-1호,"=GOOGLETRANSLATE(A21, ""ko"", ""zh-cn"")"
미니칼림바 만들기(특수원목),"=GOOGLETRANSLATE(A22, ""ko"", ""zh-cn"")"
부산광역시 중구 대청동3가 대청로78 3층 플레이아트센터,"=GOOGLETRANSLATE(A23, ""ko"", ""zh-cn"")"
칼림바만들기(17키편백원목),"=GOOGLETRANSLATE(A24, ""ko"", ""zh-cn"")"
은반지 원데이클래스,"=GOOGLETRANSLATE(A25, ""ko"", ""zh-cn"")"
