Original,TranslationFormula
이영현 콘서트: 나의 노래가 필요한 너에게 - 숨,"=GOOGLETRANSLATE(A2, ""ko"", ""en"")"
"R석 154,000원
S석 143,000원","=GOOGLETRANSLATE(A3, ""ko"", ""en"")"
TAEHO Mini Live Concert: THE FIRST [ X ],"=GOOGLETRANSLATE(A4, ""ko"", ""en"")"
"사운드체크석 88,000원
일반석 66,000원","=GOOGLETRANSLATE(A5, ""ko"", ""en"")"
바이올리니스트 이준화의 여성 작곡가들의 작품들,"=GOOGLETRANSLATE(A6, ""ko"", ""en"")"
갓 (GAT) [전주],"=GOOGLETRANSLATE(A7, ""ko"", ""en"")"
유미 단독 콘서트: Nostalgia in You Me,"=GOOGLETRANSLATE(A8, ""ko"", ""en"")"
"전석 119,000원","=GOOGLETRANSLATE(A9, ""ko"", ""en"")"
제200회 원주시립교향악단 정기연주회: EROICA 영웅,"=GOOGLETRANSLATE(A10, ""ko"", ""en"")"
강원도 원주시 시청로 1 (무실동),"=GOOGLETRANSLATE(A11, ""ko"", ""en"")"
리틀베가스,"=GOOGLETRANSLATE(A12, ""ko"", ""en"")"
조항조 전국투어 콘서트: 생각 [구리],"=GOOGLETRANSLATE(A13, ""ko"", ""en"")"
"VIP석 143,000원
R석 121,000원","=GOOGLETRANSLATE(A14, ""ko"", ""en"")"
"유빈댄스, 더블빌: SENSE DATUM 감각자료 2.0 X 무율경 [전주]","=GOOGLETRANSLATE(A15, ""ko"", ""en"")"
한국소리문화의전당 연지홀,"=GOOGLETRANSLATE(A16, ""ko"", ""en"")"
The 심수봉 SHOW [구리],"=GOOGLETRANSLATE(A17, ""ko"", ""en"")"
"VIP석 132,000원
R석 121,000원","=GOOGLETRANSLATE(A18, ""ko"", ""en"")"
"경기필 마스터피스 시리즈 Ⅲ, 시벨리우스 교향곡 2번","=GOOGLETRANSLATE(A19, ""ko"", ""en"")"
"R석 80,000원
S석 60,000원
A석 50,000원
B석 30,000원
C석 20,000원","=GOOGLETRANSLATE(A20, ""ko"", ""en"")"
심규선 x 안예은 콘서트: 어느 봄날,"=GOOGLETRANSLATE(A21, ""ko"", ""en"")"
"VIP석 132,000원
R석 110,000원","=GOOGLETRANSLATE(A22, ""ko"", ""en"")"
프린세스 캐치! 티니핑 [고양],"=GOOGLETRANSLATE(A23, ""ko"", ""en"")"
대전아트필하모닉오케스트라 기획연주회1: 숨을 고르는 클래식,"=GOOGLETRANSLATE(A24, ""ko"", ""en"")"
"전석 7,000원","=GOOGLETRANSLATE(A25, ""ko"", ""en"")"
홍도,"=GOOGLETRANSLATE(A26, ""ko"", ""en"")"
예술의전당 CJ 토월극장,"=GOOGLETRANSLATE(A27, ""ko"", ""en"")"
"OP석 99,000원
R석 99,000원
S석 77,000원
A석 55,000원","=GOOGLETRANSLATE(A28, ""ko"", ""en"")"
지브리 & 디즈니 OST 콘서트 with 첼로댁 [서울 중구],"=GOOGLETRANSLATE(A29, ""ko"", ""en"")"
