Original,TranslationFormula
"440,000원","=GOOGLETRANSLATE(A63, ""ko"", ""en"")"
펫자수 취미반 반려동물자수,"=GOOGLETRANSLATE(A64, ""ko"", ""en"")"
02동 1층 상가 1층 d120호,"=GOOGLETRANSLATE(A65, ""ko"", ""en"")"
경기도 광주시 경안동 경안로41번길 6 102동 1층 상가 1층 d120호,"=GOOGLETRANSLATE(A66, ""ko"", ""en"")"
"275,000원","=GOOGLETRANSLATE(A67, ""ko"", ""en"")"
"일상에 지쳐 잠시 떠나고 싶은 당신에게, 아트스테이","=GOOGLETRANSLATE(A68, ""ko"", ""en"")"
부산광역시 중구 영주로 68 3층,"=GOOGLETRANSLATE(A69, ""ko"", ""en"")"
프리미엄 나만의향수 만들기,"=GOOGLETRANSLATE(A70, ""ko"", ""en"")"
01호 향이머무는하루,"=GOOGLETRANSLATE(A71, ""ko"", ""en"")"
경기 수원시 영통구 하동 법조로149번길 216 101호 향이머무는하루,"=GOOGLETRANSLATE(A72, ""ko"", ""en"")"
"추석 원데이클래스 강아지송편, 한과","=GOOGLETRANSLATE(A73, ""ko"", ""en"")"
스쿨오브뮤직,"=GOOGLETRANSLATE(A74, ""ko"", ""en"")"
나만의 인생향수 만들기,"=GOOGLETRANSLATE(A75, ""ko"", ""en"")"
부산광역시 북구 덕천동 450-34 2층 201호 레메이에르,"=GOOGLETRANSLATE(A76, ""ko"", ""en"")"
펫자수 원데이클래스,"=GOOGLETRANSLATE(A77, ""ko"", ""en"")"
호 리첸시아 상가 1층 d120호,"=GOOGLETRANSLATE(A78, ""ko"", ""en"")"
경기도 광주시 경안동 경안로41번길 6 금호 리첸시아 상가 1층 d120호,"=GOOGLETRANSLATE(A79, ""ko"", ""en"")"
나만의 무드를 녹여내 만든 단 하나뿐인 실버링,"=GOOGLETRANSLATE(A80, ""ko"", ""en"")"
경기도 양평군 양서면 목왕로 13-1 2F,"=GOOGLETRANSLATE(A81, ""ko"", ""en"")"
다이나믹 클라이밍,"=GOOGLETRANSLATE(A82, ""ko"", ""en"")"
대구광역시 동구 신암동 705-7 3층,"=GOOGLETRANSLATE(A83, ""ko"", ""en"")"
나만의 명품 그릇 만들기,"=GOOGLETRANSLATE(A84, ""ko"", ""en"")"
뮤에뜨상가 401호,"=GOOGLETRANSLATE(A85, ""ko"", ""en"")"
부산광역시 해운대구 구남로 8-1 라뮤에뜨상가 401호,"=GOOGLETRANSLATE(A86, ""ko"", ""en"")"
Suhwa healing flower class,"=GOOGLETRANSLATE(A87, ""ko"", ""en"")"
부산광역시 부산진구 전포대로 199번길 27,"=GOOGLETRANSLATE(A88, ""ko"", ""en"")"
"69,000원","=GOOGLETRANSLATE(A89, ""ko"", ""en"")"
프리다이빙 체험,"=GOOGLETRANSLATE(A90, ""ko"", ""en"")"
감정코칭 플라워 레슨,"=GOOGLETRANSLATE(A91, ""ko"", ""en"")"
"부산광역시 해운대구 좌동 대천로 187 , 장소 미정 예약 후 안내 예정","=GOOGLETRANSLATE(A92, ""ko"", ""en"")"
