Original,TranslationFormula
김포한강괜찮은홀,"=GOOGLETRANSLATE(A2, ""ko"", ""zh-cn"")"
경기도 김포시 양촌읍 석모로 103 (석모리),"=GOOGLETRANSLATE(A3, ""ko"", ""zh-cn"")"
히든퍼즐 [대학로],"=GOOGLETRANSLATE(A4, ""ko"", ""zh-cn"")"
소셜베뉴 라움 체임버홀,"=GOOGLETRANSLATE(A5, ""ko"", ""zh-cn"")"
서울 강남구 언주로 564,"=GOOGLETRANSLATE(A6, ""ko"", ""zh-cn"")"
월드아트 서커스 [당진],"=GOOGLETRANSLATE(A7, ""ko"", ""zh-cn"")"
월드아트 서커스,"=GOOGLETRANSLATE(A8, ""ko"", ""zh-cn"")"
충청남도 당진시 신평면 삽교천길 90-16,"=GOOGLETRANSLATE(A9, ""ko"", ""zh-cn"")"
"서울시발레단, 더블 빌: Bliss & Jakie","=GOOGLETRANSLATE(A10, ""ko"", ""zh-cn"")"
세종문화회관 세종M씨어터,"=GOOGLETRANSLATE(A11, ""ko"", ""zh-cn"")"
토요명품,"=GOOGLETRANSLATE(A12, ""ko"", ""zh-cn"")"
노인의 꿈 [서울 강서],"=GOOGLETRANSLATE(A13, ""ko"", ""zh-cn"")"
LG아트센터 서울 U+ 스테이지,"=GOOGLETRANSLATE(A14, ""ko"", ""zh-cn"")"
판타스틱 체인지,"=GOOGLETRANSLATE(A15, ""ko"", ""zh-cn"")"
맥거핀 서교,"=GOOGLETRANSLATE(A16, ""ko"", ""zh-cn"")"
서울특별시 마포구 양화로7길 28(서교동),"=GOOGLETRANSLATE(A17, ""ko"", ""zh-cn"")"
"주말(휴일) 관람권 29,000원
평일 관람권 25,000원","=GOOGLETRANSLATE(A18, ""ko"", ""zh-cn"")"
청춘 온에어 [대학로],"=GOOGLETRANSLATE(A19, ""ko"", ""zh-cn"")"
에이치씨어터 익스트림씨어터 2관,"=GOOGLETRANSLATE(A20, ""ko"", ""zh-cn"")"
서울 종로구 이화장길 54,"=GOOGLETRANSLATE(A21, ""ko"", ""zh-cn"")"
아빠와 딸 [대학로],"=GOOGLETRANSLATE(A22, ""ko"", ""zh-cn"")"
세우아트센터 2관,"=GOOGLETRANSLATE(A23, ""ko"", ""zh-cn"")"
서울 종로구 대학로12길 49,"=GOOGLETRANSLATE(A24, ""ko"", ""zh-cn"")"
시그널,"=GOOGLETRANSLATE(A25, ""ko"", ""zh-cn"")"
아신극장 2관 (2층),"=GOOGLETRANSLATE(A26, ""ko"", ""zh-cn"")"
스페셜 보잉보잉 [대학로],"=GOOGLETRANSLATE(A27, ""ko"", ""zh-cn"")"
빨래: 31차 프로덕션,"=GOOGLETRANSLATE(A28, ""ko"", ""zh-cn"")"
유니플렉스 2관(중극장),"=GOOGLETRANSLATE(A29, ""ko"", ""zh-cn"")"
스폿라이트 [대학로],"=GOOGLETRANSLATE(A30, ""ko"", ""zh-cn"")"
서울특별시 종로구 대명1길 7 (명륜4가),"=GOOGLETRANSLATE(A31, ""ko"", ""zh-cn"")"
꿀벌 마야의 모험 [용인],"=GOOGLETRANSLATE(A32, ""ko"", ""zh-cn"")"
"전석 44,000원","=GOOGLETRANSLATE(A33, ""ko"", ""zh-cn"")"
흉터 [서울 홍대],"=GOOGLETRANSLATE(A34, ""ko"", ""zh-cn"")"
홍대 씨어터 윤,"=GOOGLETRANSLATE(A35, ""ko"", ""zh-cn"")"
서울특별시 마포구 와우산로 147-1 (서교동),"=GOOGLETRANSLATE(A36, ""ko"", ""zh-cn"")"
반짝 반짝 라푼젤 [대학로],"=GOOGLETRANSLATE(A37, ""ko"", ""zh-cn"")"
매직 사이언스 콘서트 [대학로],"=GOOGLETRANSLATE(A38, ""ko"", ""zh-cn"")"
터치 파이브 (TOUCH FIVE),"=GOOGLETRANSLATE(A39, ""ko"", ""zh-cn"")"
