Original,TranslationFormula
조향사와 함께 석고방향제 만들기 이색 클래스,"=GOOGLETRANSLATE(A2, ""ko"", ""ja"")"
조향사와 함께 나만의 디퓨저 만들기 클래스200ml,"=GOOGLETRANSLATE(A3, ""ko"", ""ja"")"
나만의 정원 다육이모듬식재,"=GOOGLETRANSLATE(A4, ""ko"", ""ja"")"
케이크캔들 만들기(M) 원데이클래스,"=GOOGLETRANSLATE(A5, ""ko"", ""ja"")"
조향사와 함께 나만의캔들 만들기 클래스 200g,"=GOOGLETRANSLATE(A6, ""ko"", ""ja"")"
무전력 우드스피커 만들기 원데이 클래스 / 원형 1구,"=GOOGLETRANSLATE(A7, ""ko"", ""ja"")"
무전력 우드스피커 만들기 원데이 클래스 / 2구 원목,"=GOOGLETRANSLATE(A8, ""ko"", ""ja"")"
플랜트 레터랙 만들기,"=GOOGLETRANSLATE(A9, ""ko"", ""ja"")"
서울 용산구 신흥로11나길 33 (용산동2가) 101호,"=GOOGLETRANSLATE(A10, ""ko"", ""ja"")"
서울특별시 용산구 신흥로11나길 33,"=GOOGLETRANSLATE(A11, ""ko"", ""ja"")"
도자기원데이클래스,"=GOOGLETRANSLATE(A12, ""ko"", ""ja"")"
"서울 강남구 논현로 332 역삼동, 계유빌딩","=GOOGLETRANSLATE(A13, ""ko"", ""ja"")"
서울특별시 강남구 논현로 332,"=GOOGLETRANSLATE(A14, ""ko"", ""ja"")"
내 마음을 알고 싶어요(MMPI-2),"=GOOGLETRANSLATE(A15, ""ko"", ""ja"")"
소마틱 필라테스 Somatics 1:1 체험수업,"=GOOGLETRANSLATE(A16, ""ko"", ""ja"")"
서울 강남구 삼성로119길 25 (삼성동) 3층,"=GOOGLETRANSLATE(A17, ""ko"", ""ja"")"
서울특별시 강남구 삼성로119길 25,"=GOOGLETRANSLATE(A18, ""ko"", ""ja"")"
공기정화식물을 품은 강아지 토피어리 만들기,"=GOOGLETRANSLATE(A19, ""ko"", ""ja"")"
다이아몬드릴리,"=GOOGLETRANSLATE(A20, ""ko"", ""ja"")"
서울특별시 강남구 선릉로 711 (논현동) 1층 다이아몬드릴리,"=GOOGLETRANSLATE(A21, ""ko"", ""ja"")"
나만의 플라워캔들+곰돌이캔들 만들기 원데이 클래스,"=GOOGLETRANSLATE(A22, ""ko"", ""ja"")"
무전력 우드스피커 만들기 원데이 클래스 / 2구 기본 + 가죽,"=GOOGLETRANSLATE(A23, ""ko"", ""ja"")"
마크라메 월행어 만들기,"=GOOGLETRANSLATE(A24, ""ko"", ""ja"")"
무전력 우드스피커 만들기 원데이 클래스 / 1구 원목,"=GOOGLETRANSLATE(A25, ""ko"", ""ja"")"
무전력 우드스피커 만들기 원데이 클래스 / 2구 기본,"=GOOGLETRANSLATE(A26, ""ko"", ""ja"")"
"성동구 / 서울원데이[서울 성수] 무전력 우드스피커 만들기 원데이 클래스 / 1구 기본 + 가죽 (1)70,000원","=GOOGLETRANSLATE(A27, ""ko"", ""ja"")"
"중랑구 / 서울원데이[서울 중랑] 우드카빙 - 버터나이프, 나무숟가락을 깎아보자!(1)60,000원","=GOOGLETRANSLATE(A28, ""ko"", ""ja"")"
"은평구 / 서울원데이장미? 국화? 말고 진짜 잘쓰는 플라워 케이크 만들기(1)9%128,000원","=GOOGLETRANSLATE(A29, ""ko"", ""ja"")"
