Original,TranslationFormula
제주동백수목원,"=GOOGLETRANSLATE(A2, ""ko"", ""en"")"
제주특별자치도 서귀포시 남원읍 태위로 288,"=GOOGLETRANSLATE(A3, ""ko"", ""en"")"
"제주동백수목원은 위미리 동백군락지를 일군 할머니의 증손자가 1977년부터 꺾꽂이로 정성스럽게 가꾼 둥근 수형의 애기동백나무 수백여 그루가 숲을 이루고 있는 수목원이다. 큰 애기동백나무 수백그루가 어우러져 있는 것을 볼 수 있고 수백 종류의 동백나무와 야생화, 야자수, 전망대, 연못, 방사탑, 조각상 등 다양한 볼거리가 있다. 분수대와 산책로도 있어 겨울마다 동백꽃의 풍경을 보며 걸을 수 있다. 가족과 친구, 연인과 방문해 동백나무를 배경으로 사진을 찍기에도 좋다.","=GOOGLETRANSLATE(A4, ""ko"", ""en"")"
0507-1373-4473,"=GOOGLETRANSLATE(A5, ""ko"", ""en"")"
삼척해상케이블카,"=GOOGLETRANSLATE(A6, ""ko"", ""en"")"
강원특별자치도 삼척시 근덕면 삼척로 2154-31,"=GOOGLETRANSLATE(A7, ""ko"", ""en"")"
"동해안에서 아름답기로 소문난 용화-장호해변을 한눈에 내려다볼 수 있는 케이블카이다. 케이블카에 오르면 에메랄드 빛 바다, 기암괴석이 조화를 이루어 아름다운 광경이 펼쳐진다. 차창을 통해서 보는 탁 트인 동해는 수평선과 맞닿아 있어서 그 끝을 보면 어디가 하늘인지 어디가 바다인지 구분하기 힘들다. 케이블카에서 보는 광경은 날씨에 따라 제각각이다. 날씨가 맑은 날에는 화가가 그린 예쁜 물감의 수채화를, 비 오고 흐린 날에는 자연이 그린 운치 있는 수묵화를 보는 듯하다. 용화, 장호 두 곳 모두 해안가로 이어지는 산책로가 있어 하늘에서 보던 바다를 눈앞에서 가까이 볼 수 있는 기회가 제공된다.","=GOOGLETRANSLATE(A8, ""ko"", ""en"")"
1668-4268,"=GOOGLETRANSLATE(A9, ""ko"", ""en"")"
롯데아울렛 광주수완점,"=GOOGLETRANSLATE(A10, ""ko"", ""en"")"
광주광역시 광산구 장신로 98 롯데쇼핑몰,"=GOOGLETRANSLATE(A11, ""ko"", ""en"")"
"롯데아울렛 광주수완점은 매일 새로움과 즐거운 경험을 제공한다. 200여 개 국내외 유명 브랜드 및 해외 명품 편집숍이 입점해있다. 아렛, 마트, 시네마를 한 번에 만날 수 있는 수완 롯데 타운이다.","=GOOGLETRANSLATE(A12, ""ko"", ""en"")"
