Original,TranslationFormula
경주 한화리조트 담톤,"=GOOGLETRANSLATE(A2, ""ko"", ""en"")"
한화리조트 경주,"=GOOGLETRANSLATE(A3, ""ko"", ""en"")"
경북 경주시 보문로 182-27,"=GOOGLETRANSLATE(A4, ""ko"", ""en"")"
"324,150원","=GOOGLETRANSLATE(A5, ""ko"", ""en"")"
아틀란티스 키즈카페 4개지점 이용권,"=GOOGLETRANSLATE(A6, ""ko"", ""en"")"
아틀란티스,"=GOOGLETRANSLATE(A7, ""ko"", ""en"")"
컨벤시아대로230번길 42 아라플라자 5층,"=GOOGLETRANSLATE(A8, ""ko"", ""en"")"
플레이월드 부천점 이용권,"=GOOGLETRANSLATE(A9, ""ko"", ""en"")"
해브나인 웰니스 스파 (26/03/03~26/03/29),"=GOOGLETRANSLATE(A10, ""ko"", ""en"")"
리솜리조트,"=GOOGLETRANSLATE(A11, ""ko"", ""en"")"
꽃지해안로 204,"=GOOGLETRANSLATE(A12, ""ko"", ""en"")"
"30,700원","=GOOGLETRANSLATE(A13, ""ko"", ""en"")"
주렁주렁 실내 동물원 동탄점,"=GOOGLETRANSLATE(A14, ""ko"", ""en"")"
과천 원더파크 이용권,"=GOOGLETRANSLATE(A15, ""ko"", ""en"")"
대천 파로스 한화리조트(룸온리/키캉스/오션뷰),"=GOOGLETRANSLATE(A16, ""ko"", ""en"")"
한화리조트 대천 파로스,"=GOOGLETRANSLATE(A17, ""ko"", ""en"")"
충남 보령시 해수욕장3길 11-10,"=GOOGLETRANSLATE(A18, ""ko"", ""en"")"
"264,600원","=GOOGLETRANSLATE(A19, ""ko"", ""en"")"
공룡월드 인천점 이용권,"=GOOGLETRANSLATE(A20, ""ko"", ""en"")"
히어로플레이파크 이용권,"=GOOGLETRANSLATE(A21, ""ko"", ""en"")"
히어로플레이파크,"=GOOGLETRANSLATE(A22, ""ko"", ""en"")"
오목로 196 105동 2층 38호,"=GOOGLETRANSLATE(A23, ""ko"", ""en"")"
[부산} 씨라이프 부산아쿠아리움+PKG 이용권,"=GOOGLETRANSLATE(A24, ""ko"", ""en"")"
부산 아쿠아리움,"=GOOGLETRANSLATE(A25, ""ko"", ""en"")"
"20,500원","=GOOGLETRANSLATE(A26, ""ko"", ""en"")"
남이섬 입장권 (~26.03.31),"=GOOGLETRANSLATE(A27, ""ko"", ""en"")"
남이섬,"=GOOGLETRANSLATE(A28, ""ko"", ""en"")"
특가★퍼플주니어 키즈카페 이용권,"=GOOGLETRANSLATE(A29, ""ko"", ""en"")"
퍼플주니어,"=GOOGLETRANSLATE(A30, ""ko"", ""en"")"
경기 부천시 소사구 부광로 220,"=GOOGLETRANSLATE(A31, ""ko"", ""en"")"
★특가★ 마산 로봇랜드 종일권/오후권,"=GOOGLETRANSLATE(A32, ""ko"", ""en"")"
마산 로봇랜드,"=GOOGLETRANSLATE(A33, ""ko"", ""en"")"
볼베어파크 은평점 키즈카페 롯데몰 바운스,"=GOOGLETRANSLATE(A34, ""ko"", ""en"")"
볼베어파크,"=GOOGLETRANSLATE(A35, ""ko"", ""en"")"
조마루로 2 웅진플레이도시 2층 볼베어파크,"=GOOGLETRANSLATE(A36, ""ko"", ""en"")"
특가★아틀란티스 키즈카페 이용권,"=GOOGLETRANSLATE(A37, ""ko"", ""en"")"
인천 연수구 컨벤시아대로230번길 42,"=GOOGLETRANSLATE(A38, ""ko"", ""en"")"
"21,900원","=GOOGLETRANSLATE(A39, ""ko"", ""en"")"
주렁주렁 실내 동물원 영등포점,"=GOOGLETRANSLATE(A40, ""ko"", ""en"")"
아일랜드캐슬 워터파크 로우시즌 이용권(3/7~4/30),"=GOOGLETRANSLATE(A41, ""ko"", ""en"")"
아일랜드캐슬,"=GOOGLETRANSLATE(A42, ""ko"", ""en"")"
장곡로 22 아일랜드캐슬,"=GOOGLETRANSLATE(A43, ""ko"", ""en"")"
쥬라리움 동탄점 입장권,"=GOOGLETRANSLATE(A44, ""ko"", ""en"")"
쥬라리움동탄점,"=GOOGLETRANSLATE(A45, ""ko"", ""en"")"
경기도 화성시 동탄구 동탄기흥로257번가길 31,"=GOOGLETRANSLATE(A46, ""ko"", ""en"")"
코끼리방울 키즈카페 동백,"=GOOGLETRANSLATE(A47, ""ko"", ""en"")"
코끼리방울 키즈카페,"=GOOGLETRANSLATE(A48, ""ko"", ""en"")"
동백중앙로 225-6 3층 302호,"=GOOGLETRANSLATE(A49, ""ko"", ""en"")"
쥬라리움 금천점 입장권,"=GOOGLETRANSLATE(A50, ""ko"", ""en"")"
쥬라리움금천점,"=GOOGLETRANSLATE(A51, ""ko"", ""en"")"
두산로 71 3층 쥬라리움,"=GOOGLETRANSLATE(A52, ""ko"", ""en"")"
키즈런 스포츠파크 목동점 이용권,"=GOOGLETRANSLATE(A53, ""ko"", ""en"")"
키즈런스포츠파크,"=GOOGLETRANSLATE(A54, ""ko"", ""en"")"
목동동로 401 지하1층 B101호,"=GOOGLETRANSLATE(A55, ""ko"", ""en"")"
부천 아쿠아리움,"=GOOGLETRANSLATE(A56, ""ko"", ""en"")"
공룡월드 아산퍼스트빌리지 이용권,"=GOOGLETRANSLATE(A57, ""ko"", ""en"")"
아이와가볼만한곳! 동탄공룡월드&키즈카페 그랜드 오픈특가,"=GOOGLETRANSLATE(A58, ""ko"", ""en"")"
