Original,TranslationFormula
원데이 클래스,"=GOOGLETRANSLATE(A2, ""ko"", ""en"")"
제철 꽃으로 즐기는 나만의 꽃 음료 '꽃 코디얼' 만들기,"=GOOGLETRANSLATE(A3, ""ko"", ""en"")"
별도로 준비하실 부분은 없습니다:),"=GOOGLETRANSLATE(A4, ""ko"", ""en"")"
수제오란다 만들기,"=GOOGLETRANSLATE(A5, ""ko"", ""en"")"
부산광역시 강서구 명지동 1157-1 명지국제5로110  상가 포아르과자점,"=GOOGLETRANSLATE(A6, ""ko"", ""en"")"
"76,000원","=GOOGLETRANSLATE(A7, ""ko"", ""en"")"
손으로 꽃을 피워내는 시간,"=GOOGLETRANSLATE(A8, ""ko"", ""en"")"
층 오드화,"=GOOGLETRANSLATE(A9, ""ko"", ""en"")"
부산광역시 수영구 망미동 과정로42번길 46 1층 오드화,"=GOOGLETRANSLATE(A10, ""ko"", ""en"")"
나만의 커피캡슐 홀더(네스프레소)만들기,"=GOOGLETRANSLATE(A11, ""ko"", ""en"")"
어느정도 경험이 있으나 체계적으로 배우고 목공장비 사용에 대해,"=GOOGLETRANSLATE(A12, ""ko"", ""en"")"
세상에 하나뿐인 나만의 플레이팅보드(도마) 만들기,"=GOOGLETRANSLATE(A13, ""ko"", ""en"")"
카페에서 판매하는 선물같은 샌드위치만들기,"=GOOGLETRANSLATE(A14, ""ko"", ""en"")"
부산광역시 금정구 서동 302-1917 1층,"=GOOGLETRANSLATE(A15, ""ko"", ""en"")"
암사동 쿠킹클래스,"=GOOGLETRANSLATE(A16, ""ko"", ""en"")"
서울특별시 강동구 상암로 23길 15-9,"=GOOGLETRANSLATE(A17, ""ko"", ""en"")"
취향 저격! 나만의 소품 만들기_레진아트,"=GOOGLETRANSLATE(A18, ""ko"", ""en"")"
가구제작 기능사 실기반 모집,"=GOOGLETRANSLATE(A19, ""ko"", ""en"")"
경기도 안성시 보개원삼로,"=GOOGLETRANSLATE(A20, ""ko"", ""en"")"
"500,040원","=GOOGLETRANSLATE(A21, ""ko"", ""en"")"
커스텀 헬륨풍선 클래스,"=GOOGLETRANSLATE(A22, ""ko"", ""en"")"
"744,000원","=GOOGLETRANSLATE(A23, ""ko"", ""en"")"
자이언트플라워 원데이/자격증반 클래스,"=GOOGLETRANSLATE(A24, ""ko"", ""en"")"
경기도 · 광주시 · 송정동,"=GOOGLETRANSLATE(A25, ""ko"", ""en"")"
경기도 광주시 송정동,"=GOOGLETRANSLATE(A26, ""ko"", ""en"")"
"270,000원","=GOOGLETRANSLATE(A27, ""ko"", ""en"")"
꽃풍선 원데이클래스 창업/자격증반,"=GOOGLETRANSLATE(A28, ""ko"", ""en"")"
"660,000원","=GOOGLETRANSLATE(A29, ""ko"", ""en"")"
"띵크오브, 가죽 풍경종(도어벨) 만들기","=GOOGLETRANSLATE(A30, ""ko"", ""en"")"
01호 띵크오브,"=GOOGLETRANSLATE(A31, ""ko"", ""en"")"
서울특별시 마포구 연남동 성미산로29길 30-3 101호 띵크오브,"=GOOGLETRANSLATE(A32, ""ko"", ""en"")"
멍크로플 만들기,"=GOOGLETRANSLATE(A33, ""ko"", ""en"")"
오유에프,"=GOOGLETRANSLATE(A34, ""ko"", ""en"")"
"경상북도 구미시 인의동 여헌로 63-1 1층,오유에프","=GOOGLETRANSLATE(A35, ""ko"", ""en"")"
