Original,TranslationFormula
"통합권 한 장으로 군산의 근대 역사, 미술, 건축을 체험하기","=GOOGLETRANSLATE(A2, ""ko"", ""zh-cn"")"
서구로봇체험관,"=GOOGLETRANSLATE(A3, ""ko"", ""zh-cn"")"
인천 서구 로봇랜드로 155-11,"=GOOGLETRANSLATE(A4, ""ko"", ""zh-cn"")"
신기한 로봇을 무료로 체험해볼 수 있는 곳,"=GOOGLETRANSLATE(A5, ""ko"", ""zh-cn"")"
명원박물관,"=GOOGLETRANSLATE(A6, ""ko"", ""zh-cn"")"
서울특별시 성북구 정릉로 77,"=GOOGLETRANSLATE(A7, ""ko"", ""zh-cn"")"
차에 대해 알아볼 수 있는 무료 박물관,"=GOOGLETRANSLATE(A8, ""ko"", ""zh-cn"")"
수원박물관,"=GOOGLETRANSLATE(A9, ""ko"", ""zh-cn"")"
경기도 수원시 영통구 창룡대로 265,"=GOOGLETRANSLATE(A10, ""ko"", ""zh-cn"")"
수원의 역사와 문화 체험,"=GOOGLETRANSLATE(A11, ""ko"", ""zh-cn"")"
검단선사박물관,"=GOOGLETRANSLATE(A12, ""ko"", ""zh-cn"")"
인천광역시 서구 고산후로121번길 7,"=GOOGLETRANSLATE(A13, ""ko"", ""zh-cn"")"
인천에도 있는 선사박물관!,"=GOOGLETRANSLATE(A14, ""ko"", ""zh-cn"")"
아스카 게임박물관,"=GOOGLETRANSLATE(A15, ""ko"", ""zh-cn"")"
경기 파주시 탄현면 헤이리마을길 59-101,"=GOOGLETRANSLATE(A16, ""ko"", ""zh-cn"")"
게임 천국! 엄마도 아빠도 아이도 신나는 곳,"=GOOGLETRANSLATE(A17, ""ko"", ""zh-cn"")"
달서선사관,"=GOOGLETRANSLATE(A18, ""ko"", ""zh-cn"")"
대구 달서구 조암로 129,"=GOOGLETRANSLATE(A19, ""ko"", ""zh-cn"")"
선사시대 체험하러 떠나볼까?,"=GOOGLETRANSLATE(A20, ""ko"", ""zh-cn"")"
부산광역시교육청어린이창의교육관,"=GOOGLETRANSLATE(A21, ""ko"", ""zh-cn"")"
부산 부산진구 성지곡로33번길 29-28,"=GOOGLETRANSLATE(A22, ""ko"", ""zh-cn"")"
즐겁게 뛰놀며 꿈을 키우는 어린이,"=GOOGLETRANSLATE(A23, ""ko"", ""zh-cn"")"
국립수목원 산림박물관,"=GOOGLETRANSLATE(A24, ""ko"", ""zh-cn"")"
경기도 포천시 소흘읍 광릉수목원로 509,"=GOOGLETRANSLATE(A25, ""ko"", ""zh-cn"")"
산림부터 생태계까지 볼 수 있는 산림 박물관,"=GOOGLETRANSLATE(A26, ""ko"", ""zh-cn"")"
웅진백제역사관,"=GOOGLETRANSLATE(A27, ""ko"", ""zh-cn"")"
충남 공주시 왕릉로 37,"=GOOGLETRANSLATE(A28, ""ko"", ""zh-cn"")"
백제 역사를 체험하기 좋은 곳,"=GOOGLETRANSLATE(A29, ""ko"", ""zh-cn"")"
조명박물관,"=GOOGLETRANSLATE(A30, ""ko"", ""zh-cn"")"
경기도 양주시 광적면 광적로 235-48,"=GOOGLETRANSLATE(A31, ""ko"", ""zh-cn"")"
반짝반짝 빛의 세상과 소극장 공연,"=GOOGLETRANSLATE(A32, ""ko"", ""zh-cn"")"
국립전주어린이박물관,"=GOOGLETRANSLATE(A33, ""ko"", ""zh-cn"")"
전북 전주시 완산구 쑥고개로 249,"=GOOGLETRANSLATE(A34, ""ko"", ""zh-cn"")"
다양한 전시와 체험이 있는 어린이 박물관,"=GOOGLETRANSLATE(A35, ""ko"", ""zh-cn"")"
한국잡월드,"=GOOGLETRANSLATE(A36, ""ko"", ""zh-cn"")"
경기 성남시 분당구 분당수서로 501,"=GOOGLETRANSLATE(A37, ""ko"", ""zh-cn"")"
48개월 이상 아이를 위한 110개 직업체험,"=GOOGLETRANSLATE(A38, ""ko"", ""zh-cn"")"
호남기후변화체험관,"=GOOGLETRANSLATE(A39, ""ko"", ""zh-cn"")"
전남 담양군 담양읍 메타세쿼이아로 45,"=GOOGLETRANSLATE(A40, ""ko"", ""zh-cn"")"
어린이 눈높이에 맞는 놀이형 과학 체험공간,"=GOOGLETRANSLATE(A41, ""ko"", ""zh-cn"")"
경기도 어린이식품안전체험관 부천센터,"=GOOGLETRANSLATE(A42, ""ko"", ""zh-cn"")"
경기 부천시 벌말로 122 경기 어린이식품안전체험관 부천센터,"=GOOGLETRANSLATE(A43, ""ko"", ""zh-cn"")"
올바른 식습관을 형성하는 유익한 체험,"=GOOGLETRANSLATE(A44, ""ko"", ""zh-cn"")"
기지시줄다리기박물관,"=GOOGLETRANSLATE(A45, ""ko"", ""zh-cn"")"
충청남도 당진시 송악읍 안틀모시길11,"=GOOGLETRANSLATE(A46, ""ko"", ""zh-cn"")"
줄다리기의 유래와 역사를 배울 수 있는 박물관,"=GOOGLETRANSLATE(A47, ""ko"", ""zh-cn"")"
오산버드파크,"=GOOGLETRANSLATE(A48, ""ko"", ""zh-cn"")"
경기 오산시 성호대로 141 오산시청,"=GOOGLETRANSLATE(A49, ""ko"", ""zh-cn"")"
"1,200 여종의 동물이 있는 실내 최대규모의 자연생태체험관","=GOOGLETRANSLATE(A50, ""ko"", ""zh-cn"")"
국립산악박물관,"=GOOGLETRANSLATE(A51, ""ko"", ""zh-cn"")"
서울특별시 도봉구 도봉산길 86,"=GOOGLETRANSLATE(A52, ""ko"", ""zh-cn"")"
무료 클라이밍도 해보는 국립산악박물관,"=GOOGLETRANSLATE(A53, ""ko"", ""zh-cn"")"
테라크랩팜,"=GOOGLETRANSLATE(A54, ""ko"", ""zh-cn"")"
강원 속초시 학사평2길 16,"=GOOGLETRANSLATE(A55, ""ko"", ""zh-cn"")"
게와 두꺼비 먹이도 주고 관찰도 해요,"=GOOGLETRANSLATE(A56, ""ko"", ""zh-cn"")"
경주 세계자동차박물관,"=GOOGLETRANSLATE(A57, ""ko"", ""zh-cn"")"
경상북도 경주시 보문로 132-22,"=GOOGLETRANSLATE(A58, ""ko"", ""zh-cn"")"
클래식카와 다양한 자동차를 한공간에서,"=GOOGLETRANSLATE(A59, ""ko"", ""zh-cn"")"
속초시립박물관,"=GOOGLETRANSLATE(A60, ""ko"", ""zh-cn"")"
강원특별자치도 속초시 신흥2길16,"=GOOGLETRANSLATE(A61, ""ko"", ""zh-cn"")"
포토존과 체험거리가 많은 알찬 박물관,"=GOOGLETRANSLATE(A62, ""ko"", ""zh-cn"")"
애니메이션 박물관 & 토이로봇관,"=GOOGLETRANSLATE(A63, ""ko"", ""zh-cn"")"
강원특별자치도 춘천시 서면 박사로 854,"=GOOGLETRANSLATE(A64, ""ko"", ""zh-cn"")"
애니메이션과 로봇을 한 번에 볼 수 있는 동심저격 박물관,"=GOOGLETRANSLATE(A65, ""ko"", ""zh-cn"")"
경산수학체험센터,"=GOOGLETRANSLATE(A66, ""ko"", ""zh-cn"")"
경북 경산시 삼성현로 110,"=GOOGLETRANSLATE(A67, ""ko"", ""zh-cn"")"
보고 만지며 탐구하는 수학체험!,"=GOOGLETRANSLATE(A68, ""ko"", ""zh-cn"")"
