Original,TranslationFormula
안산 vs 천안,"=GOOGLETRANSLATE(A2, ""ko"", ""en"")"
대구 vs 파주,"=GOOGLETRANSLATE(A3, ""ko"", ""en"")"
부산 vs 충남아산,"=GOOGLETRANSLATE(A4, ""ko"", ""en"")"
성남 vs 김해,"=GOOGLETRANSLATE(A5, ""ko"", ""en"")"
경남 vs 용인,"=GOOGLETRANSLATE(A6, ""ko"", ""en"")"
화성 vs 수원,"=GOOGLETRANSLATE(A7, ""ko"", ""en"")"
천안 vs 수원FC,"=GOOGLETRANSLATE(A8, ""ko"", ""en"")"
서울E vs 충북청주,"=GOOGLETRANSLATE(A9, ""ko"", ""en"")"
김포 vs 전남,"=GOOGLETRANSLATE(A10, ""ko"", ""en"")"
김포솔터축구장,"=GOOGLETRANSLATE(A11, ""ko"", ""en"")"
경기 김포시 마산동 642-1,"=GOOGLETRANSLATE(A12, ""ko"", ""en"")"
안양 vs 포항,"=GOOGLETRANSLATE(A13, ""ko"", ""en"")"
안산 vs 수원FC,"=GOOGLETRANSLATE(A14, ""ko"", ""en"")"
파주 vs 용인,"=GOOGLETRANSLATE(A15, ""ko"", ""en"")"
김천 vs 제주,"=GOOGLETRANSLATE(A16, ""ko"", ""en"")"
김해 vs 서울E,"=GOOGLETRANSLATE(A17, ""ko"", ""en"")"
김포 vs 충남아산,"=GOOGLETRANSLATE(A18, ""ko"", ""en"")"
경남 vs 천안,"=GOOGLETRANSLATE(A19, ""ko"", ""en"")"
수원FC vs 전남,"=GOOGLETRANSLATE(A20, ""ko"", ""en"")"
천안 vs 김해,"=GOOGLETRANSLATE(A21, ""ko"", ""en"")"
울산 vs 전북,"=GOOGLETRANSLATE(A22, ""ko"", ""en"")"
김천 vs 부천,"=GOOGLETRANSLATE(A23, ""ko"", ""en"")"
안산 vs 수원,"=GOOGLETRANSLATE(A24, ""ko"", ""en"")"
대구 vs 성남,"=GOOGLETRANSLATE(A25, ""ko"", ""en"")"
