Original,TranslationFormula
전북특별자치도 부안군 변산면 격포리 301-1,"=GOOGLETRANSLATE(A2, ""ko"", ""ja"")"
어린이·가족 예술축제 <톡톡>,"=GOOGLETRANSLATE(A3, ""ko"", ""ja"")"
서울 양천구,"=GOOGLETRANSLATE(A4, ""ko"", ""ja"")"
서울특별시 양천구 신정동 1068,"=GOOGLETRANSLATE(A5, ""ko"", ""ja"")"
연천구석기축제,"=GOOGLETRANSLATE(A6, ""ko"", ""ja"")"
경기도 연천군,"=GOOGLETRANSLATE(A7, ""ko"", ""ja"")"
경기도 연천군 연천읍 부곡리 산 235,"=GOOGLETRANSLATE(A8, ""ko"", ""ja"")"
영주 한국선비문화축제,"=GOOGLETRANSLATE(A9, ""ko"", ""ja"")"
경상북도 영주시,"=GOOGLETRANSLATE(A10, ""ko"", ""ja"")"
경상북도 영주시 순흥면 소백로 2740,"=GOOGLETRANSLATE(A11, ""ko"", ""ja"")"
밀양아리랑대축제,"=GOOGLETRANSLATE(A12, ""ko"", ""ja"")"
경상남도 밀양시,"=GOOGLETRANSLATE(A13, ""ko"", ""ja"")"
경상남도 밀양시 중앙로 324,"=GOOGLETRANSLATE(A14, ""ko"", ""ja"")"
해운대 모래축제,"=GOOGLETRANSLATE(A15, ""ko"", ""ja"")"
부산 해운대구,"=GOOGLETRANSLATE(A16, ""ko"", ""ja"")"
부산광역시 해운대구 우동,"=GOOGLETRANSLATE(A17, ""ko"", ""ja"")"
연등회,"=GOOGLETRANSLATE(A18, ""ko"", ""ja"")"
서울 종로구,"=GOOGLETRANSLATE(A19, ""ko"", ""ja"")"
화성 뱃놀이 축제,"=GOOGLETRANSLATE(A20, ""ko"", ""ja"")"
경기도 화성시,"=GOOGLETRANSLATE(A21, ""ko"", ""ja"")"
경기도 화성시 만세구 서신면 제부리,"=GOOGLETRANSLATE(A22, ""ko"", ""ja"")"
영주 소백산 철쭉제,"=GOOGLETRANSLATE(A23, ""ko"", ""ja"")"
춘천마임축제,"=GOOGLETRANSLATE(A24, ""ko"", ""ja"")"
강원특별자치도 춘천시,"=GOOGLETRANSLATE(A25, ""ko"", ""ja"")"
강원특별자치도 춘천시 남산면 남이섬길 1,"=GOOGLETRANSLATE(A26, ""ko"", ""ja"")"
음성품바축제,"=GOOGLETRANSLATE(A27, ""ko"", ""ja"")"
충청북도 음성군,"=GOOGLETRANSLATE(A28, ""ko"", ""ja"")"
충청북도 음성군 금왕읍 백야로 461-97,"=GOOGLETRANSLATE(A29, ""ko"", ""ja"")"
광안리어방축제,"=GOOGLETRANSLATE(A30, ""ko"", ""ja"")"
부산 수영구,"=GOOGLETRANSLATE(A31, ""ko"", ""ja"")"
부산광역시 수영구 광안해변로 219,"=GOOGLETRANSLATE(A32, ""ko"", ""ja"")"
한산모시문화제,"=GOOGLETRANSLATE(A33, ""ko"", ""ja"")"
울산태화강마두희축제,"=GOOGLETRANSLATE(A34, ""ko"", ""ja"")"
울산 중구,"=GOOGLETRANSLATE(A35, ""ko"", ""ja"")"
울산광역시 중구 태화동 107,"=GOOGLETRANSLATE(A36, ""ko"", ""ja"")"
대구치맥페스티벌,"=GOOGLETRANSLATE(A37, ""ko"", ""ja"")"
대구 달서구,"=GOOGLETRANSLATE(A38, ""ko"", ""ja"")"
대구광역시 달서구 두류공원로 200,"=GOOGLETRANSLATE(A39, ""ko"", ""ja"")"
보령머드축제,"=GOOGLETRANSLATE(A40, ""ko"", ""ja"")"
충청남도 보령시,"=GOOGLETRANSLATE(A41, ""ko"", ""ja"")"
충남 보령시 머드로 123,"=GOOGLETRANSLATE(A42, ""ko"", ""ja"")"
정남진 장흥 물축제,"=GOOGLETRANSLATE(A43, ""ko"", ""ja"")"
전라남도 장흥군,"=GOOGLETRANSLATE(A44, ""ko"", ""ja"")"
전라남도 장흥군 장흥읍 우드랜드길 180,"=GOOGLETRANSLATE(A45, ""ko"", ""ja"")"
통영한산대첩축제,"=GOOGLETRANSLATE(A46, ""ko"", ""ja"")"
경상남도 통영시,"=GOOGLETRANSLATE(A47, ""ko"", ""ja"")"
경상남도 통영시 발개로 205,"=GOOGLETRANSLATE(A48, ""ko"", ""ja"")"
무주반딧불축제,"=GOOGLETRANSLATE(A49, ""ko"", ""ja"")"
전북특별자치도 무주군,"=GOOGLETRANSLATE(A50, ""ko"", ""ja"")"
전북특별자치도 무주군 설천면 만선로 185,"=GOOGLETRANSLATE(A51, ""ko"", ""ja"")"
평창효석문화제,"=GOOGLETRANSLATE(A52, ""ko"", ""ja"")"
강원특별자치도 평창군,"=GOOGLETRANSLATE(A53, ""ko"", ""ja"")"
강원특별자치도 평창군 대관령면 올림픽로 715,"=GOOGLETRANSLATE(A54, ""ko"", ""ja"")"
장수한우랑사과랑축제,"=GOOGLETRANSLATE(A55, ""ko"", ""ja"")"
전북특별자치도 장수군,"=GOOGLETRANSLATE(A56, ""ko"", ""ja"")"
전북특별자치도 장수군 번암면 방화동로 778,"=GOOGLETRANSLATE(A57, ""ko"", ""ja"")"
부천국제만화축제,"=GOOGLETRANSLATE(A58, ""ko"", ""ja"")"
경기도 부천시,"=GOOGLETRANSLATE(A59, ""ko"", ""ja"")"
경기도 부천시 원미구 조마루로 2,"=GOOGLETRANSLATE(A60, ""ko"", ""ja"")"
진안홍삼축제,"=GOOGLETRANSLATE(A61, ""ko"", ""ja"")"
전북특별자치도 진안군,"=GOOGLETRANSLATE(A62, ""ko"", ""ja"")"
전북특별자치도 진안군 마령면 동촌리 산 18,"=GOOGLETRANSLATE(A63, ""ko"", ""ja"")"
안동국제탈춤페스티벌,"=GOOGLETRANSLATE(A64, ""ko"", ""ja"")"
경상북도 안동시,"=GOOGLETRANSLATE(A65, ""ko"", ""ja"")"
경상북도 안동시 풍천면 하회리 1176-1,"=GOOGLETRANSLATE(A66, ""ko"", ""ja"")"
김제지평선축제,"=GOOGLETRANSLATE(A67, ""ko"", ""ja"")"
전북특별자치도 김제시,"=GOOGLETRANSLATE(A68, ""ko"", ""ja"")"
전북특별자치도 김제시 부량면 벽골제로 442,"=GOOGLETRANSLATE(A69, ""ko"", ""ja"")"
정선아리랑제,"=GOOGLETRANSLATE(A70, ""ko"", ""ja"")"
강원특별자치도 정선군,"=GOOGLETRANSLATE(A71, ""ko"", ""ja"")"
강원특별자치도 정선군 사북읍 하이원길 265,"=GOOGLETRANSLATE(A72, ""ko"", ""ja"")"
