Original,TranslationFormula
전북특별자치도 군산시 해망로 240,"=GOOGLETRANSLATE(A2, ""ko"", ""ja"")"
"통합권 한 장으로 군산의 근대 역사, 미술, 건축을 체험하기","=GOOGLETRANSLATE(A3, ""ko"", ""ja"")"
서구로봇체험관,"=GOOGLETRANSLATE(A4, ""ko"", ""ja"")"
인천 서구 로봇랜드로 155-11,"=GOOGLETRANSLATE(A5, ""ko"", ""ja"")"
신기한 로봇을 무료로 체험해볼 수 있는 곳,"=GOOGLETRANSLATE(A6, ""ko"", ""ja"")"
명원박물관,"=GOOGLETRANSLATE(A7, ""ko"", ""ja"")"
서울특별시 성북구 정릉로 77,"=GOOGLETRANSLATE(A8, ""ko"", ""ja"")"
차에 대해 알아볼 수 있는 무료 박물관,"=GOOGLETRANSLATE(A9, ""ko"", ""ja"")"
수원박물관,"=GOOGLETRANSLATE(A10, ""ko"", ""ja"")"
경기도 수원시 영통구 창룡대로 265,"=GOOGLETRANSLATE(A11, ""ko"", ""ja"")"
수원의 역사와 문화 체험,"=GOOGLETRANSLATE(A12, ""ko"", ""ja"")"
검단선사박물관,"=GOOGLETRANSLATE(A13, ""ko"", ""ja"")"
인천광역시 서구 고산후로121번길 7,"=GOOGLETRANSLATE(A14, ""ko"", ""ja"")"
인천에도 있는 선사박물관!,"=GOOGLETRANSLATE(A15, ""ko"", ""ja"")"
아스카 게임박물관,"=GOOGLETRANSLATE(A16, ""ko"", ""ja"")"
경기 파주시 탄현면 헤이리마을길 59-101,"=GOOGLETRANSLATE(A17, ""ko"", ""ja"")"
게임 천국! 엄마도 아빠도 아이도 신나는 곳,"=GOOGLETRANSLATE(A18, ""ko"", ""ja"")"
달서선사관,"=GOOGLETRANSLATE(A19, ""ko"", ""ja"")"
대구 달서구 조암로 129,"=GOOGLETRANSLATE(A20, ""ko"", ""ja"")"
선사시대 체험하러 떠나볼까?,"=GOOGLETRANSLATE(A21, ""ko"", ""ja"")"
부산광역시교육청어린이창의교육관,"=GOOGLETRANSLATE(A22, ""ko"", ""ja"")"
부산 부산진구 성지곡로33번길 29-28,"=GOOGLETRANSLATE(A23, ""ko"", ""ja"")"
즐겁게 뛰놀며 꿈을 키우는 어린이,"=GOOGLETRANSLATE(A24, ""ko"", ""ja"")"
국립수목원 산림박물관,"=GOOGLETRANSLATE(A25, ""ko"", ""ja"")"
