Original,TranslationFormula
"30,000원","=GOOGLETRANSLATE(A2, ""ko"", ""en"")"
［구로］ 싱어롱 콘서트 뮤지컬 ‘Live Show’ 〈무지개 물고기〉,"=GOOGLETRANSLATE(A3, ""ko"", ""en"")"
"예매가능시간: 전일17시(월~토 관람 시)까지/전일 11시(일요일 관람 시)까지2026년 5월 30일(토) 12시, 14시, 16시","=GOOGLETRANSLATE(A4, ""ko"", ""en"")"
"전석 50,000원","=GOOGLETRANSLATE(A5, ""ko"", ""en"")"
［서울］ 가족뮤지컬 〈로보카폴리 - 브룸스타운의 에너지를 지켜라!〉,"=GOOGLETRANSLATE(A6, ""ko"", ""en"")"
"예매가능시간: 전일17시(월~토 관람 시)까지/전일 11시(일요일 관람 시)까지2026년 5월 9일(토) ~ 5월 10일(일) 11시, 2시, 4시30분","=GOOGLETRANSLATE(A7, ""ko"", ""en"")"
"R석 66,000원","=GOOGLETRANSLATE(A8, ""ko"", ""en"")"
［해피 마포 와글와글］ 뮤지컬 〈푸른 사자 와니니〉,"=GOOGLETRANSLATE(A9, ""ko"", ""en"")"
마포아트센터 아트홀 맥,"=GOOGLETRANSLATE(A10, ""ko"", ""en"")"
"예매가능시간: 관람 2시간 전까지수목금 19시30분 / 토일 14시, 18시
* 월, 화 공연없음, 5/6(수) 공연없음
* 단, 5/1(금), 5/5(화) 14시, 18시","=GOOGLETRANSLATE(A11, ""ko"", ""en"")"
"R석 88,000원
S석 77,000원
A석 55,000원","=GOOGLETRANSLATE(A12, ""ko"", ""en"")"
"VIP석 170,000원
R석 140,000원
S석 110,000원
A석 80,000원","=GOOGLETRANSLATE(A13, ""ko"", ""en"")"
［Play＆Stay］뮤지컬 데스노트+ Hotel,"=GOOGLETRANSLATE(A14, ""ko"", ""en"")"
"[중요 공지 안내]- 티켓수령: 호텔 내 Play&Stay 티켓데스크(9AM~12PM)- 본 상품의 티켓은 구매자 본인 관람이 필수이며 양도, 대리 수령 절대 불가능합니다.- 호텔 투숙은 구매자 본인이 체크인 하셔야만 이용 가능하시며 미성년자의 경우 법적 보호자와 함께 투숙 가능하십니다.","=GOOGLETRANSLATE(A15, ""ko"", ""en"")"
"4/5(일) 포포인츠 바이 쉐라톤 서울 구로 (2인) 1,290,000원
4/7(화) 롯데시티호텔 구로 (2인) 1,070,000원
4/11(토) 롯데시티호텔 구로 (2인) 1,360,000원","=GOOGLETRANSLATE(A16, ""ko"", ""en"")"
"R석 190,000원
OP석 190,000원
S석 160,000원
A석 130,000원
B석 90,000원
1층 시야제한석 80,000원
2층 시야제한석 80,000원","=GOOGLETRANSLATE(A17, ""ko"", ""en"")"
2026 가족 라이브 뮤지컬 〈피터팬〉 (서울양천),"=GOOGLETRANSLATE(A18, ""ko"", ""en"")"
서울 양천구 목동서로 367,"=GOOGLETRANSLATE(A19, ""ko"", ""en"")"
예매가능시간: 관람 2시간 전까지2026년 4월 4일(토) ~ 4월 5일(일) 11시/ 14시/ 16시,"=GOOGLETRANSLATE(A20, ""ko"", ""en"")"
"R석 40,000원
S석 30,000원","=GOOGLETRANSLATE(A21, ""ko"", ""en"")"
2026 가족 뮤지컬 〈오즈의 마법사〉 - 서울양천,"=GOOGLETRANSLATE(A22, ""ko"", ""en"")"
예매가능시간: 관람 2시간 전까지2026년 4월 11일(토) ~ 4월 12일(일) 11시/ 14시/ 16시,"=GOOGLETRANSLATE(A23, ""ko"", ""en"")"
2026 앤서니브라운 가족뮤지컬 〈우리아빠가최고야〉 - 서울(관악),"=GOOGLETRANSLATE(A24, ""ko"", ""en"")"
관악아트홀,"=GOOGLETRANSLATE(A25, ""ko"", ""en"")"
서울 관악구 대학동 녹두거리,"=GOOGLETRANSLATE(A26, ""ko"", ""en"")"
예매가능시간: 전일17시(월~토 관람 시)까지/전일 11시(일요일 관람 시)까지2026년 5월 9일(토) ~ 5월 10일(일) 11시 14시 16시,"=GOOGLETRANSLATE(A27, ""ko"", ""en"")"
"R석 40,000원","=GOOGLETRANSLATE(A28, ""ko"", ""en"")"
가족뮤지컬 〈꼬마버스 타요 - 소원을 들어주는 요술 지팡이 대소동〉 - 강동,"=GOOGLETRANSLATE(A29, ""ko"", ""en"")"
"예매가능시간: 전일17시(월~토 관람 시)까지/전일 11시(일요일 관람 시)까지2026년 4월 18일(토) 11시, 14시, 16시 30분
2026년 4월 19일(일) 11시, 14시","=GOOGLETRANSLATE(A30, ""ko"", ""en"")"
"R석 60,000원
S석 50,000원","=GOOGLETRANSLATE(A31, ""ko"", ""en"")"
가족뮤지컬 〈나의 비밀친구 해치〉 - 서울,"=GOOGLETRANSLATE(A32, ""ko"", ""en"")"
KT&G 상상마당 대치아트홀,"=GOOGLETRANSLATE(A33, ""ko"", ""en"")"
서울특별시 강남구 영동대로 416 (대치동),"=GOOGLETRANSLATE(A34, ""ko"", ""en"")"
"예매가능시간: 관람 2시간 전까지목,금 16시 / 주말 및 공휴일 11시, 14시 / 월,화,수 공연없음
* 5월 1일(금), 5월 4일(월) 11시, 14시
* 5월 7일(목), 5월 8일(금) 공연없음","=GOOGLETRANSLATE(A35, ""ko"", ""en"")"
가족뮤지컬 〈마인블록월드 : 우리가 만드는 세상〉 - 서울,"=GOOGLETRANSLATE(A36, ""ko"", ""en"")"
"예매가능시간: 관람 2시간 전까지평일 16시30분 / 주말 및 공휴일 11시, 14시, 16시30분 / 월,화 공연없음
※ 6월 3일(수) 11시, 14시, 16시30분","=GOOGLETRANSLATE(A37, ""ko"", ""en"")"
"R석 60,000원","=GOOGLETRANSLATE(A38, ""ko"", ""en"")"
가족뮤지컬 〈뽀로로와 신비한 여행〉 - 서울앵콜,"=GOOGLETRANSLATE(A39, ""ko"", ""en"")"
"예매가능시간: 관람 2시간 전까지2026년 5월 2일(토) ~ 5월 3일(일) 11시 ,14시, 16시 30분 (총6회차)","=GOOGLETRANSLATE(A40, ""ko"", ""en"")"
"R석 50,000원","=GOOGLETRANSLATE(A41, ""ko"", ""en"")"
가족뮤지컬 〈설민석의 한국사 대모험 : 안중근〉 - 서울,"=GOOGLETRANSLATE(A42, ""ko"", ""en"")"
"예매가능시간: 관람 2시간 전까지평일 16시 30분 / 주말 및 공휴일 11시, 14시, 16시30분
* 3/28(토), 3/29(일) 11시, 14시
* 월,화 공연없음","=GOOGLETRANSLATE(A43, ""ko"", ""en"")"
"R석 66,000원
S석 55,000원","=GOOGLETRANSLATE(A44, ""ko"", ""en"")"
