Original,TranslationFormula
전북특별자치도 부안군 변산면 격포리 301-1,"=GOOGLETRANSLATE(A2, ""ko"", ""zh-cn"")"
어린이·가족 예술축제 <톡톡>,"=GOOGLETRANSLATE(A3, ""ko"", ""zh-cn"")"
서울 양천구,"=GOOGLETRANSLATE(A4, ""ko"", ""zh-cn"")"
서울특별시 양천구 신정동 1068,"=GOOGLETRANSLATE(A5, ""ko"", ""zh-cn"")"
연천구석기축제,"=GOOGLETRANSLATE(A6, ""ko"", ""zh-cn"")"
경기도 연천군,"=GOOGLETRANSLATE(A7, ""ko"", ""zh-cn"")"
경기도 연천군 연천읍 부곡리 산 235,"=GOOGLETRANSLATE(A8, ""ko"", ""zh-cn"")"
영주 한국선비문화축제,"=GOOGLETRANSLATE(A9, ""ko"", ""zh-cn"")"
경상북도 영주시,"=GOOGLETRANSLATE(A10, ""ko"", ""zh-cn"")"
경상북도 영주시 순흥면 소백로 2740,"=GOOGLETRANSLATE(A11, ""ko"", ""zh-cn"")"
밀양아리랑대축제,"=GOOGLETRANSLATE(A12, ""ko"", ""zh-cn"")"
경상남도 밀양시,"=GOOGLETRANSLATE(A13, ""ko"", ""zh-cn"")"
경상남도 밀양시 중앙로 324,"=GOOGLETRANSLATE(A14, ""ko"", ""zh-cn"")"
해운대 모래축제,"=GOOGLETRANSLATE(A15, ""ko"", ""zh-cn"")"
부산 해운대구,"=GOOGLETRANSLATE(A16, ""ko"", ""zh-cn"")"
부산광역시 해운대구 우동,"=GOOGLETRANSLATE(A17, ""ko"", ""zh-cn"")"
연등회,"=GOOGLETRANSLATE(A18, ""ko"", ""zh-cn"")"
서울 종로구,"=GOOGLETRANSLATE(A19, ""ko"", ""zh-cn"")"
화성 뱃놀이 축제,"=GOOGLETRANSLATE(A20, ""ko"", ""zh-cn"")"
경기도 화성시,"=GOOGLETRANSLATE(A21, ""ko"", ""zh-cn"")"
경기도 화성시 만세구 서신면 제부리,"=GOOGLETRANSLATE(A22, ""ko"", ""zh-cn"")"
영주 소백산 철쭉제,"=GOOGLETRANSLATE(A23, ""ko"", ""zh-cn"")"
춘천마임축제,"=GOOGLETRANSLATE(A24, ""ko"", ""zh-cn"")"
강원특별자치도 춘천시,"=GOOGLETRANSLATE(A25, ""ko"", ""zh-cn"")"
강원특별자치도 춘천시 남산면 남이섬길 1,"=GOOGLETRANSLATE(A26, ""ko"", ""zh-cn"")"
음성품바축제,"=GOOGLETRANSLATE(A27, ""ko"", ""zh-cn"")"
충청북도 음성군,"=GOOGLETRANSLATE(A28, ""ko"", ""zh-cn"")"
충청북도 음성군 금왕읍 백야로 461-97,"=GOOGLETRANSLATE(A29, ""ko"", ""zh-cn"")"
광안리어방축제,"=GOOGLETRANSLATE(A30, ""ko"", ""zh-cn"")"
부산 수영구,"=GOOGLETRANSLATE(A31, ""ko"", ""zh-cn"")"
부산광역시 수영구 광안해변로 219,"=GOOGLETRANSLATE(A32, ""ko"", ""zh-cn"")"
한산모시문화제,"=GOOGLETRANSLATE(A33, ""ko"", ""zh-cn"")"
울산태화강마두희축제,"=GOOGLETRANSLATE(A34, ""ko"", ""zh-cn"")"
울산 중구,"=GOOGLETRANSLATE(A35, ""ko"", ""zh-cn"")"
울산광역시 중구 태화동 107,"=GOOGLETRANSLATE(A36, ""ko"", ""zh-cn"")"
대구치맥페스티벌,"=GOOGLETRANSLATE(A37, ""ko"", ""zh-cn"")"
대구 달서구,"=GOOGLETRANSLATE(A38, ""ko"", ""zh-cn"")"
대구광역시 달서구 두류공원로 200,"=GOOGLETRANSLATE(A39, ""ko"", ""zh-cn"")"
보령머드축제,"=GOOGLETRANSLATE(A40, ""ko"", ""zh-cn"")"
충청남도 보령시,"=GOOGLETRANSLATE(A41, ""ko"", ""zh-cn"")"
충남 보령시 머드로 123,"=GOOGLETRANSLATE(A42, ""ko"", ""zh-cn"")"
정남진 장흥 물축제,"=GOOGLETRANSLATE(A43, ""ko"", ""zh-cn"")"
전라남도 장흥군,"=GOOGLETRANSLATE(A44, ""ko"", ""zh-cn"")"
전라남도 장흥군 장흥읍 우드랜드길 180,"=GOOGLETRANSLATE(A45, ""ko"", ""zh-cn"")"
통영한산대첩축제,"=GOOGLETRANSLATE(A46, ""ko"", ""zh-cn"")"
경상남도 통영시,"=GOOGLETRANSLATE(A47, ""ko"", ""zh-cn"")"
경상남도 통영시 발개로 205,"=GOOGLETRANSLATE(A48, ""ko"", ""zh-cn"")"
무주반딧불축제,"=GOOGLETRANSLATE(A49, ""ko"", ""zh-cn"")"
전북특별자치도 무주군,"=GOOGLETRANSLATE(A50, ""ko"", ""zh-cn"")"
전북특별자치도 무주군 설천면 만선로 185,"=GOOGLETRANSLATE(A51, ""ko"", ""zh-cn"")"
평창효석문화제,"=GOOGLETRANSLATE(A52, ""ko"", ""zh-cn"")"
강원특별자치도 평창군,"=GOOGLETRANSLATE(A53, ""ko"", ""zh-cn"")"
강원특별자치도 평창군 대관령면 올림픽로 715,"=GOOGLETRANSLATE(A54, ""ko"", ""zh-cn"")"
장수한우랑사과랑축제,"=GOOGLETRANSLATE(A55, ""ko"", ""zh-cn"")"
전북특별자치도 장수군,"=GOOGLETRANSLATE(A56, ""ko"", ""zh-cn"")"
전북특별자치도 장수군 번암면 방화동로 778,"=GOOGLETRANSLATE(A57, ""ko"", ""zh-cn"")"
부천국제만화축제,"=GOOGLETRANSLATE(A58, ""ko"", ""zh-cn"")"
경기도 부천시,"=GOOGLETRANSLATE(A59, ""ko"", ""zh-cn"")"
경기도 부천시 원미구 조마루로 2,"=GOOGLETRANSLATE(A60, ""ko"", ""zh-cn"")"
진안홍삼축제,"=GOOGLETRANSLATE(A61, ""ko"", ""zh-cn"")"
전북특별자치도 진안군,"=GOOGLETRANSLATE(A62, ""ko"", ""zh-cn"")"
전북특별자치도 진안군 마령면 동촌리 산 18,"=GOOGLETRANSLATE(A63, ""ko"", ""zh-cn"")"
안동국제탈춤페스티벌,"=GOOGLETRANSLATE(A64, ""ko"", ""zh-cn"")"
경상북도 안동시,"=GOOGLETRANSLATE(A65, ""ko"", ""zh-cn"")"
경상북도 안동시 풍천면 하회리 1176-1,"=GOOGLETRANSLATE(A66, ""ko"", ""zh-cn"")"
김제지평선축제,"=GOOGLETRANSLATE(A67, ""ko"", ""zh-cn"")"
전북특별자치도 김제시,"=GOOGLETRANSLATE(A68, ""ko"", ""zh-cn"")"
전북특별자치도 김제시 부량면 벽골제로 442,"=GOOGLETRANSLATE(A69, ""ko"", ""zh-cn"")"
정선아리랑제,"=GOOGLETRANSLATE(A70, ""ko"", ""zh-cn"")"
강원특별자치도 정선군,"=GOOGLETRANSLATE(A71, ""ko"", ""zh-cn"")"
강원특별자치도 정선군 사북읍 하이원길 265,"=GOOGLETRANSLATE(A72, ""ko"", ""zh-cn"")"
천안흥타령춤축제,"=GOOGLETRANSLATE(A73, ""ko"", ""zh-cn"")"
충청남도 천안시,"=GOOGLETRANSLATE(A74, ""ko"", ""zh-cn"")"
충청남도 천안시 동남구 성남면 소노로 1,"=GOOGLETRANSLATE(A75, ""ko"", ""zh-cn"")"
금산세계인삼축제,"=GOOGLETRANSLATE(A76, ""ko"", ""zh-cn"")"
충청남도 금산군,"=GOOGLETRANSLATE(A77, ""ko"", ""zh-cn"")"
충청남도 금산군 제원면 천내리 168-5,"=GOOGLETRANSLATE(A78, ""ko"", ""zh-cn"")"
부평풍물대축제,"=GOOGLETRANSLATE(A79, ""ko"", ""zh-cn"")"
인천 부평구,"=GOOGLETRANSLATE(A80, ""ko"", ""zh-cn"")"
인천광역시 부평구 광장로 6,"=GOOGLETRANSLATE(A81, ""ko"", ""zh-cn"")"
산청한방약초축제,"=GOOGLETRANSLATE(A82, ""ko"", ""zh-cn"")"
경상남도 산청군,"=GOOGLETRANSLATE(A83, ""ko"", ""zh-cn"")"
경상남도 산청군 금서면 동의보감로555번길 45-6,"=GOOGLETRANSLATE(A84, ""ko"", ""zh-cn"")"
안성맞춤 남사당 바우덕이축제,"=GOOGLETRANSLATE(A85, ""ko"", ""zh-cn"")"
경기도 안성시,"=GOOGLETRANSLATE(A86, ""ko"", ""zh-cn"")"
경기도 안성시 공도읍 대신두길 28,"=GOOGLETRANSLATE(A87, ""ko"", ""zh-cn"")"
수원화성문화제,"=GOOGLETRANSLATE(A88, ""ko"", ""zh-cn"")"
경기도 수원시,"=GOOGLETRANSLATE(A89, ""ko"", ""zh-cn"")"
경기도 수원시 장안구 영화동 320-2,"=GOOGLETRANSLATE(A90, ""ko"", ""zh-cn"")"
광주 추억의 충장축제,"=GOOGLETRANSLATE(A91, ""ko"", ""zh-cn"")"
광주 동구,"=GOOGLETRANSLATE(A92, ""ko"", ""zh-cn"")"
광주광역시 동구 금남로1가 12-7,"=GOOGLETRANSLATE(A93, ""ko"", ""zh-cn"")"
임실N치즈축제,"=GOOGLETRANSLATE(A94, ""ko"", ""zh-cn"")"
전북특별자치도 임실군,"=GOOGLETRANSLATE(A95, ""ko"", ""zh-cn"")"
전북특별자치도 임실군 성수면 도인2길 50,"=GOOGLETRANSLATE(A96, ""ko"", ""zh-cn"")"
세종한글축제,"=GOOGLETRANSLATE(A97, ""ko"", ""zh-cn"")"
세종특별자치시 세종시,"=GOOGLETRANSLATE(A98, ""ko"", ""zh-cn"")"
세종특별자치시 합강동,"=GOOGLETRANSLATE(A99, ""ko"", ""zh-cn"")"
고창모양성제,"=GOOGLETRANSLATE(A100, ""ko"", ""zh-cn"")"
전북특별자치도 고창군,"=GOOGLETRANSLATE(A101, ""ko"", ""zh-cn"")"
전북특별자치도 고창군 상하면 상하농원길 23,"=GOOGLETRANSLATE(A102, ""ko"", ""zh-cn"")"
강동선사문화축제,"=GOOGLETRANSLATE(A103, ""ko"", ""zh-cn"")"
서울 강동구,"=GOOGLETRANSLATE(A104, ""ko"", ""zh-cn"")"
서울특별시 강동구 암사동 138,"=GOOGLETRANSLATE(A105, ""ko"", ""zh-cn"")"
동래읍성역사축제,"=GOOGLETRANSLATE(A106, ""ko"", ""zh-cn"")"
부산 동래구,"=GOOGLETRANSLATE(A107, ""ko"", ""zh-cn"")"
부산광역시 동래구 온천장로107번길 32,"=GOOGLETRANSLATE(A108, ""ko"", ""zh-cn"")"
목포항구축제,"=GOOGLETRANSLATE(A109, ""ko"", ""zh-cn"")"
전라남도 목포시,"=GOOGLETRANSLATE(A110, ""ko"", ""zh-cn"")"
전라남도 목포시 해양대학로 240,"=GOOGLETRANSLATE(A111, ""ko"", ""zh-cn"")"
순창장류축제,"=GOOGLETRANSLATE(A112, ""ko"", ""zh-cn"")"
전북특별자치도 순창군,"=GOOGLETRANSLATE(A113, ""ko"", ""zh-cn"")"
전북특별자치도 순창군 팔덕면 청계리 981,"=GOOGLETRANSLATE(A114, ""ko"", ""zh-cn"")"
사천에어쇼,"=GOOGLETRANSLATE(A115, ""ko"", ""zh-cn"")"
경상남도 사천시,"=GOOGLETRANSLATE(A116, ""ko"", ""zh-cn"")"
경상남도 사천시 사천대로 18,"=GOOGLETRANSLATE(A117, ""ko"", ""zh-cn"")"
광주김치축제,"=GOOGLETRANSLATE(A118, ""ko"", ""zh-cn"")"
광주 서구,"=GOOGLETRANSLATE(A119, ""ko"", ""zh-cn"")"
