Original,TranslationFormula
"피크닉 준비 강아지 파스타 (바질파스타, 로제파스타)","=GOOGLETRANSLATE(A2, ""ko"", ""ja"")"
경상북도 경산시 진량읍 해든길 11 1층 다니옹,"=GOOGLETRANSLATE(A3, ""ko"", ""ja"")"
입문반 - 3개월,"=GOOGLETRANSLATE(A4, ""ko"", ""ja"")"
서울 · 구로구 · 디지털로32가길,"=GOOGLETRANSLATE(A5, ""ko"", ""ja"")"
서울 구로구 디지털로32가길,"=GOOGLETRANSLATE(A6, ""ko"", ""ja"")"
나만의 워치 스트랩 만들기 원데이 클래스,"=GOOGLETRANSLATE(A7, ""ko"", ""ja"")"
부산광역시 부산진구 전포2동 664-6 1층 스그니 가죽공방,"=GOOGLETRANSLATE(A8, ""ko"", ""ja"")"
부산광역시 부산진구 전포2동 664-6 1층(스그니 가죽공방),"=GOOGLETRANSLATE(A9, ""ko"", ""ja"")"
별자리 무드 캔버스 만들기,"=GOOGLETRANSLATE(A10, ""ko"", ""ja"")"
부산광역시 해운대구 중1동 1199-5 415호,"=GOOGLETRANSLATE(A11, ""ko"", ""ja"")"
너무 맛있어서 소개할 말이 없는 브라우니 만들기,"=GOOGLETRANSLATE(A12, ""ko"", ""ja"")"
경기도 · 화성시 · 영천동,"=GOOGLETRANSLATE(A13, ""ko"", ""ja"")"
경기도 화성시 영천동,"=GOOGLETRANSLATE(A14, ""ko"", ""ja"")"
"102,000원","=GOOGLETRANSLATE(A15, ""ko"", ""ja"")"
도자기에 흙으로 경험과 시간을 그리는 색소지 접시 만들기 클래스,"=GOOGLETRANSLATE(A16, ""ko"", ""ja"")"
서울특별시 강동구 고덕동 아리수로74길 35 101호,"=GOOGLETRANSLATE(A17, ""ko"", ""ja"")"
자운고/청비고 원데이클레스,"=GOOGLETRANSLATE(A18, ""ko"", ""ja"")"
즉석 커스텀 티셔츠 만들기 체험 티셔츠체험/ 원데이 클래스 / 단체클래스,"=GOOGLETRANSLATE(A19, ""ko"", ""ja"")"
서울특별시 광진구 군자동 동일로56길 60 2층,"=GOOGLETRANSLATE(A20, ""ko"", ""ja"")"
백드롭페인팅 나이프화 원데이 클래스,"=GOOGLETRANSLATE(A21, ""ko"", ""ja"")"
부산광역시 북구 화명동 금곡대로 270 대림상가 310-1호,"=GOOGLETRANSLATE(A22, ""ko"", ""ja"")"
미니칼림바 만들기(특수원목),"=GOOGLETRANSLATE(A23, ""ko"", ""ja"")"
부산광역시 중구 대청동3가 대청로78 3층 플레이아트센터,"=GOOGLETRANSLATE(A24, ""ko"", ""ja"")"
칼림바만들기(17키편백원목),"=GOOGLETRANSLATE(A25, ""ko"", ""ja"")"
은반지 원데이클래스,"=GOOGLETRANSLATE(A26, ""ko"", ""ja"")"
나만의 귀여운 힙팟을 만들어봐요!,"=GOOGLETRANSLATE(A27, ""ko"", ""ja"")"
하부동산 2층 leap,"=GOOGLETRANSLATE(A28, ""ko"", ""ja"")"
부산 사하구 괴정동 장평로 432,"=GOOGLETRANSLATE(A29, ""ko"", ""ja"")"
해운대 바다를 내손 안에 모먼트캔들 만들기,"=GOOGLETRANSLATE(A30, ""ko"", ""ja"")"
오감만족 쉐이커쿠키 만들기,"=GOOGLETRANSLATE(A31, ""ko"", ""ja"")"
서울 · 강서구 · 양천로,"=GOOGLETRANSLATE(A32, ""ko"", ""ja"")"
서울 강서구 양천로,"=GOOGLETRANSLATE(A33, ""ko"", ""ja"")"
모던한 라탄 미니도어벨 만들기,"=GOOGLETRANSLATE(A34, ""ko"", ""ja"")"
부산광역시 연제구 연산동 778-32 1층,"=GOOGLETRANSLATE(A35, ""ko"", ""ja"")"
"46,000원","=GOOGLETRANSLATE(A36, ""ko"", ""ja"")"
반짝이는 당신의 하루를 위한 힐링 클래스 (나만의 비누 만들기) 성인반/키즈반,"=GOOGLETRANSLATE(A37, ""ko"", ""ja"")"
레메이에르 향수 원데이클래스,"=GOOGLETRANSLATE(A38, ""ko"", ""ja"")"
[청년공방] 원목 LED 무드등 만들기 원데이클래스,"=GOOGLETRANSLATE(A39, ""ko"", ""ja"")"
층 신광빌딩 4층 청년공방 본점,"=GOOGLETRANSLATE(A40, ""ko"", ""ja"")"
경기 수원시 팔달구 권광로187번길 10-3,"=GOOGLETRANSLATE(A41, ""ko"", ""ja"")"
"25,200원","=GOOGLETRANSLATE(A42, ""ko"", ""ja"")"
인천 보컬 1:1 원데이 클래스 (선학역),"=GOOGLETRANSLATE(A43, ""ko"", ""ja"")"
"40,200원","=GOOGLETRANSLATE(A44, ""ko"", ""ja"")"
감사하고 고마웠던 분들께 직접 만든 카네이션캔들 어떨까요? 오래두고 봐도 예쁜 카네이션캔들,"=GOOGLETRANSLATE(A45, ""ko"", ""ja"")"
오랜시간 수업의 노하우로 쉽고 재미있는 수업이 될수있게 준비할께요,"=GOOGLETRANSLATE(A46, ""ko"", ""ja"")"
곰돌이캔들 앙증맞고 요즘 가장 핫한 곰돌이캔들& 채색석고 실속 클래스,"=GOOGLETRANSLATE(A47, ""ko"", ""ja"")"
대전광역시 동구 삼성동 278-4 레네의작업실,"=GOOGLETRANSLATE(A48, ""ko"", ""ja"")"
필름 넣기부터 사진관까지! 찍으면서 배우는 필름카메라 원데이 출사클래스(필카 대여가능),"=GOOGLETRANSLATE(A49, ""ko"", ""ja"")"
서울 · 종로구 · 적선동,"=GOOGLETRANSLATE(A50, ""ko"", ""ja"")"
서울 종로구 적선동,"=GOOGLETRANSLATE(A51, ""ko"", ""ja"")"
청키캔들 (정크캔들_) 오밀한 오브제를 챱챱 만들고 캔들속에 쏙~ 청키캔들이에요,"=GOOGLETRANSLATE(A52, ""ko"", ""ja"")"
오랜시간 공방을 하면서  수업을했던  경험을 바탕으로,"=GOOGLETRANSLATE(A53, ""ko"", ""ja"")"
"DIY, 내 손으로 만드는 나만의 월급 포트폴리오_재테크 원데이클래스","=GOOGLETRANSLATE(A54, ""ko"", ""ja"")"
스트파이브 을지로점,"=GOOGLETRANSLATE(A55, ""ko"", ""ja"")"
서울 중구 수표동 청계천로 100,"=GOOGLETRANSLATE(A56, ""ko"", ""ja"")"
글라스아트 썬캐쳐 만들기 원데이클래스,"=GOOGLETRANSLATE(A57, ""ko"", ""ja"")"
