Original,TranslationFormula
엄마아빠어렸을적에,"=GOOGLETRANSLATE(A61, ""ko"", ""zh-cn"")"
대구 군위군 산성면 산성가음로 722,"=GOOGLETRANSLATE(A62, ""ko"", ""zh-cn"")"
엄마아빠와 떠나는 추억 여행⠀,"=GOOGLETRANSLATE(A63, ""ko"", ""zh-cn"")"
수도박물관,"=GOOGLETRANSLATE(A64, ""ko"", ""zh-cn"")"
우리 아이 물박사 만들어주는 곳,"=GOOGLETRANSLATE(A65, ""ko"", ""zh-cn"")"
인천국민안전체험관 리틀인천안전시티,"=GOOGLETRANSLATE(A66, ""ko"", ""zh-cn"")"
소방대원 선생님과 함께하는 안전교육 프로그램,"=GOOGLETRANSLATE(A67, ""ko"", ""zh-cn"")"
바니베어뮤지엄,"=GOOGLETRANSLATE(A68, ""ko"", ""zh-cn"")"
경상북도 경주시 보문로 280-34,"=GOOGLETRANSLATE(A69, ""ko"", ""zh-cn"")"
실바니안과 테디베어가 만든 뮤지엄,"=GOOGLETRANSLATE(A70, ""ko"", ""zh-cn"")"
순창발효테마파크,"=GOOGLETRANSLATE(A71, ""ko"", ""zh-cn"")"
전북특별자치도 순창군 순창읍 장류로 55,"=GOOGLETRANSLATE(A72, ""ko"", ""zh-cn"")"
체험을 통해 알아보는 발효 문화의 가치,"=GOOGLETRANSLATE(A73, ""ko"", ""zh-cn"")"
무주반디랜드,"=GOOGLETRANSLATE(A74, ""ko"", ""zh-cn"")"
곤충박물관과 천문과학관이 있는 곳,"=GOOGLETRANSLATE(A75, ""ko"", ""zh-cn"")"
메디테리움 의학박물관,"=GOOGLETRANSLATE(A76, ""ko"", ""zh-cn"")"
병원 가기 싫어하는 아이와 병원 놀이하기,"=GOOGLETRANSLATE(A77, ""ko"", ""zh-cn"")"
보령목재문화체험장,"=GOOGLETRANSLATE(A78, ""ko"", ""zh-cn"")"
충남 보령시 성주면 성주산로 318-57,"=GOOGLETRANSLATE(A79, ""ko"", ""zh-cn"")"
수목원을 거닐고 목공체험도 하며 느끼는 나무의 소중함,"=GOOGLETRANSLATE(A80, ""ko"", ""zh-cn"")"
테디베어뮤지엄 군산,"=GOOGLETRANSLATE(A81, ""ko"", ""zh-cn"")"
테디베어와 함께 세계여행! 포토존 가득한 테디베어뮤지엄,"=GOOGLETRANSLATE(A82, ""ko"", ""zh-cn"")"
추억의 청춘뮤지엄,"=GOOGLETRANSLATE(A83, ""ko"", ""zh-cn"")"
경기 양평군 용문면 용문산로 620 단독건물,"=GOOGLETRANSLATE(A84, ""ko"", ""zh-cn"")"
세대 불문 모두가 빠져드는 레트로 박물관,"=GOOGLETRANSLATE(A85, ""ko"", ""zh-cn"")"
토속어류생태체험관,"=GOOGLETRANSLATE(A86, ""ko"", ""zh-cn"")"
강원 화천군 간동면 어룡동길 366 토속어류생태체험장,"=GOOGLETRANSLATE(A87, ""ko"", ""zh-cn"")"
민물고기의 본고장에서 즐기는 다양한 체험,"=GOOGLETRANSLATE(A88, ""ko"", ""zh-cn"")"
스위트파크 롯데 어린이 식품체험관,"=GOOGLETRANSLATE(A89, ""ko"", ""zh-cn"")"
서울 강서구 마곡중앙로 201,"=GOOGLETRANSLATE(A90, ""ko"", ""zh-cn"")"
먹거리 가득한 달콤한 공원에서 다양한 무료 체험을!,"=GOOGLETRANSLATE(A91, ""ko"", ""zh-cn"")"
국립민속박물관 7080추억의거리,"=GOOGLETRANSLATE(A92, ""ko"", ""zh-cn"")"
타임머신 타고 6~70년대 추억의 거리 속으로!,"=GOOGLETRANSLATE(A93, ""ko"", ""zh-cn"")"
세종이야기 충무공이야기,"=GOOGLETRANSLATE(A94, ""ko"", ""zh-cn"")"
세종대왕과 이순신 이야기를 재미있게 체험하며 배우기,"=GOOGLETRANSLATE(A95, ""ko"", ""zh-cn"")"
잊지 말아야 할 역사의 산실,"=GOOGLETRANSLATE(A96, ""ko"", ""zh-cn"")"
서귀포감귤박물관,"=GOOGLETRANSLATE(A97, ""ko"", ""zh-cn"")"
제주특별자치도 서귀포시 효돈순환로 441,"=GOOGLETRANSLATE(A98, ""ko"", ""zh-cn"")"
감귤에 대한 모든 것을 보고 느끼고 체험할 수 있는 곳,"=GOOGLETRANSLATE(A99, ""ko"", ""zh-cn"")"
안동문화관광단지유교랜드,"=GOOGLETRANSLATE(A100, ""ko"", ""zh-cn"")"
경북 안동시 관광단지로 346-30,"=GOOGLETRANSLATE(A101, ""ko"", ""zh-cn"")"
체험과 놀이를 통해 배우는 유교문화,"=GOOGLETRANSLATE(A102, ""ko"", ""zh-cn"")"
제주고산리유적안내센터,"=GOOGLETRANSLATE(A103, ""ko"", ""zh-cn"")"
제주 제주시 한경면 노을해안로 1100,"=GOOGLETRANSLATE(A104, ""ko"", ""zh-cn"")"
석기와 토기의 모습을 만날 수 있는 곳,"=GOOGLETRANSLATE(A105, ""ko"", ""zh-cn"")"
전라남도해양수산과학관,"=GOOGLETRANSLATE(A106, ""ko"", ""zh-cn"")"
전남 여수시 돌산읍 돌산로 2876,"=GOOGLETRANSLATE(A107, ""ko"", ""zh-cn"")"
남해안의 어종과 생물들이 전시된 수산과학관,"=GOOGLETRANSLATE(A108, ""ko"", ""zh-cn"")"
애틀랜타 어린이 박물관,"=GOOGLETRANSLATE(A109, ""ko"", ""zh-cn"")"
과학적 상상력을 높이는 어린이 박물관,"=GOOGLETRANSLATE(A110, ""ko"", ""zh-cn"")"
국토지리정보원 국립지도박물관,"=GOOGLETRANSLATE(A111, ""ko"", ""zh-cn"")"
경기도 수원시 영통구 월드컵로 92,"=GOOGLETRANSLATE(A112, ""ko"", ""zh-cn"")"
국내 유일 지도박물관,"=GOOGLETRANSLATE(A113, ""ko"", ""zh-cn"")"
대전교통문화연수원,"=GOOGLETRANSLATE(A114, ""ko"", ""zh-cn"")"
"대전 유성구 대덕대로 480 대전 C.T센터, 스튜디오큐브","=GOOGLETRANSLATE(A115, ""ko"", ""zh-cn"")"
아이에게 재미있게 교통안전을 알려줄 수 있는 곳,"=GOOGLETRANSLATE(A116, ""ko"", ""zh-cn"")"
밀양한천테마파크,"=GOOGLETRANSLATE(A117, ""ko"", ""zh-cn"")"
경남 밀양시 산내면 봉의리 1596-57,"=GOOGLETRANSLATE(A118, ""ko"", ""zh-cn"")"
한천의 역사를 알고 한천체험을 할 수 있는 곳,"=GOOGLETRANSLATE(A119, ""ko"", ""zh-cn"")"
거꾸로옛이야기나라숲,"=GOOGLETRANSLATE(A120, ""ko"", ""zh-cn"")"
경북 상주시 화북면 우복동길 63-23,"=GOOGLETRANSLATE(A121, ""ko"", ""zh-cn"")"
신나는 시간을 보장해 줄 체험형 실내놀이터,"=GOOGLETRANSLATE(A122, ""ko"", ""zh-cn"")"
전쟁기념관,"=GOOGLETRANSLATE(A123, ""ko"", ""zh-cn"")"
서울특별시 용산구 이태원로 29,"=GOOGLETRANSLATE(A124, ""ko"", ""zh-cn"")"
"TV에서만 본 전투기, 탱크, 전투함 모두 여기 있다!","=GOOGLETRANSLATE(A125, ""ko"", ""zh-cn"")"
한강이야기전시관,"=GOOGLETRANSLATE(A126, ""ko"", ""zh-cn"")"
서울 광진구 강변북로 2202 뚝섬전망복합문화시설 한강이야기전시관,"=GOOGLETRANSLATE(A127, ""ko"", ""zh-cn"")"
한강에서 여유와 휴식을 즐기는 실내 테마공간,"=GOOGLETRANSLATE(A128, ""ko"", ""zh-cn"")"
횡성한우체험관,"=GOOGLETRANSLATE(A129, ""ko"", ""zh-cn"")"
강원 횡성군 횡성읍 문예로 41 횡성한우체험관,"=GOOGLETRANSLATE(A130, ""ko"", ""zh-cn"")"
한우에 대한 역사와 문화를 배울 수 있는 곳,"=GOOGLETRANSLATE(A131, ""ko"", ""zh-cn"")"
강원특별자치도자연환경연구공원,"=GOOGLETRANSLATE(A132, ""ko"", ""zh-cn"")"
강원 홍천군 북방면 생태공원길 319 강원특별자치도자연환경연구공원,"=GOOGLETRANSLATE(A133, ""ko"", ""zh-cn"")"
"자연생태 환경을 보고, 느끼고, 체험하는 공간","=GOOGLETRANSLATE(A134, ""ko"", ""zh-cn"")"
대한민국역사박물관 말랑말랑 현대사 놀이터,"=GOOGLETRANSLATE(A135, ""ko"", ""zh-cn"")"
그 시절 현대사로 돌아가 보는 무료 체험형 놀이터,"=GOOGLETRANSLATE(A136, ""ko"", ""zh-cn"")"
DMZ를 보다 가깝고 생생하게 체험할 수 있는 곳,"=GOOGLETRANSLATE(A137, ""ko"", ""zh-cn"")"
국립세계문자박물관,"=GOOGLETRANSLATE(A138, ""ko"", ""zh-cn"")"
인천광역시 연수구 센트럴로 217,"=GOOGLETRANSLATE(A139, ""ko"", ""zh-cn"")"
체험을 통해 배우는 다양한 문자의 역사,"=GOOGLETRANSLATE(A140, ""ko"", ""zh-cn"")"
또봇정크아트뮤지엄,"=GOOGLETRANSLATE(A141, ""ko"", ""zh-cn"")"
로봇덕후 친구들 모여라!,"=GOOGLETRANSLATE(A142, ""ko"", ""zh-cn"")"
글로벌스페이스 체험교육,"=GOOGLETRANSLATE(A143, ""ko"", ""zh-cn"")"
경기 양주시 장흥면 권율로 124,"=GOOGLETRANSLATE(A144, ""ko"", ""zh-cn"")"
동심의 세계가 현실이 되는 곳,"=GOOGLETRANSLATE(A145, ""ko"", ""zh-cn"")"
새마을운동테마공원,"=GOOGLETRANSLATE(A146, ""ko"", ""zh-cn"")"
키카 부럽지않은 무료 실내 놀이터와 체험관,"=GOOGLETRANSLATE(A147, ""ko"", ""zh-cn"")"
부산해양자연사박물관,"=GOOGLETRANSLATE(A148, ""ko"", ""zh-cn"")"
부산광역시 동래구 우장춘로 175(온천동),"=GOOGLETRANSLATE(A149, ""ko"", ""zh-cn"")"
다양한 해양 생물들을 볼 수 있는 곳,"=GOOGLETRANSLATE(A150, ""ko"", ""zh-cn"")"
올드타임,"=GOOGLETRANSLATE(A151, ""ko"", ""zh-cn"")"
경기 안성시 공도읍 소신두길 52-9지도보기,"=GOOGLETRANSLATE(A152, ""ko"", ""zh-cn"")"
"카페와 레스토랑, 근현대 박물관이 한 곳에","=GOOGLETRANSLATE(A153, ""ko"", ""zh-cn"")"
국가유산 방문 캠페인 인천공항 홍보관,"=GOOGLETRANSLATE(A154, ""ko"", ""zh-cn"")"
인천광역시 중구 공항로 271 인천국제공항역 제1교통센터 지하 1층,"=GOOGLETRANSLATE(A155, ""ko"", ""zh-cn"")"
출국 전 인천공항에서 알차게 시간 보내는 법!,"=GOOGLETRANSLATE(A156, ""ko"", ""zh-cn"")"
당림미술관,"=GOOGLETRANSLATE(A157, ""ko"", ""zh-cn"")"
충청남도 아산시 송악면 외암로 1182번길 34-19,"=GOOGLETRANSLATE(A158, ""ko"", ""zh-cn"")"
바닥에 마음껏 그림을 그려보고 싶다면!,"=GOOGLETRANSLATE(A159, ""ko"", ""zh-cn"")"
대구어린이교통랜드,"=GOOGLETRANSLATE(A160, ""ko"", ""zh-cn"")"
다양한 자동차를 마음껏 탈 수 있는 곳,"=GOOGLETRANSLATE(A161, ""ko"", ""zh-cn"")"
국립민속박물관 어린이박물관,"=GOOGLETRANSLATE(A162, ""ko"", ""zh-cn"")"
전래동화를 직접 체험할 수 있는 곳,"=GOOGLETRANSLATE(A163, ""ko"", ""zh-cn"")"
119부산안전체험관,"=GOOGLETRANSLATE(A164, ""ko"", ""zh-cn"")"
부산 동래구 우장춘로 117,"=GOOGLETRANSLATE(A165, ""ko"", ""zh-cn"")"
소방관을 동경하는 아이에게 생생한 체험을!,"=GOOGLETRANSLATE(A166, ""ko"", ""zh-cn"")"
천연기념물센터,"=GOOGLETRANSLATE(A167, ""ko"", ""zh-cn"")"
대전 서구 유등로 927,"=GOOGLETRANSLATE(A168, ""ko"", ""zh-cn"")"
아이에게 자연유산의 가치를 교육해 줄 무료전시공간,"=GOOGLETRANSLATE(A169, ""ko"", ""zh-cn"")"
이천시환경학습관,"=GOOGLETRANSLATE(A170, ""ko"", ""zh-cn"")"
경기 이천시 호법면 중부대로798번길 126 환경학습관 1층,"=GOOGLETRANSLATE(A171, ""ko"", ""zh-cn"")"
