Original,TranslationFormula
루프캣미,"=GOOGLETRANSLATE(A2, ""ko"", ""zh-cn"")"
양화로 140 H-CUBE B2F,"=GOOGLETRANSLATE(A3, ""ko"", ""zh-cn"")"
상록리조트 상록랜드,"=GOOGLETRANSLATE(A4, ""ko"", ""zh-cn"")"
상록리조트,"=GOOGLETRANSLATE(A5, ""ko"", ""zh-cn"")"
충남 천안시 동남구 수신면 수신로 576,"=GOOGLETRANSLATE(A6, ""ko"", ""zh-cn"")"
롯데리조트부여 아쿠아가든 (3/21~4/30),"=GOOGLETRANSLATE(A7, ""ko"", ""zh-cn"")"
롯데리조트,"=GOOGLETRANSLATE(A8, ""ko"", ""zh-cn"")"
강원 속초시 대포항길 186,"=GOOGLETRANSLATE(A9, ""ko"", ""zh-cn"")"
소노벨 천안 오션어드벤처 종일권 (03/14~04/24),"=GOOGLETRANSLATE(A10, ""ko"", ""zh-cn"")"
소노벨 천안,"=GOOGLETRANSLATE(A11, ""ko"", ""zh-cn"")"
한치골길 262,"=GOOGLETRANSLATE(A12, ""ko"", ""zh-cn"")"
파라다이스시티 원더박스 자유이용권 (3/21~4/30),"=GOOGLETRANSLATE(A13, ""ko"", ""zh-cn"")"
파라다이스시티,"=GOOGLETRANSLATE(A14, ""ko"", ""zh-cn"")"
인천광역시 중구 영종해안남로321번길 186 (운서동),"=GOOGLETRANSLATE(A15, ""ko"", ""zh-cn"")"
"19,550원","=GOOGLETRANSLATE(A16, ""ko"", ""zh-cn"")"
하나 딸기수확체험(실내대기실+화장실완비),"=GOOGLETRANSLATE(A17, ""ko"", ""zh-cn"")"
하나딸기수확체험,"=GOOGLETRANSLATE(A18, ""ko"", ""zh-cn"")"
"10,500원","=GOOGLETRANSLATE(A19, ""ko"", ""zh-cn"")"
잭슨나인스 대구점 (유효기간 : 26/01/01~03/31),"=GOOGLETRANSLATE(A20, ""ko"", ""zh-cn"")"
쥬라리움 파주점 입장권,"=GOOGLETRANSLATE(A21, ""ko"", ""zh-cn"")"
쥬라리움파주점,"=GOOGLETRANSLATE(A22, ""ko"", ""zh-cn"")"
경기도 파주시 탄현면 새오리로 69 프로방스 주차타워 2층,"=GOOGLETRANSLATE(A23, ""ko"", ""zh-cn"")"
아르떼뮤지엄 입장권,"=GOOGLETRANSLATE(A24, ""ko"", ""zh-cn"")"
아르떼뮤지엄 부산,"=GOOGLETRANSLATE(A25, ""ko"", ""zh-cn"")"
부산 영도구 해양로247번길 29,"=GOOGLETRANSLATE(A26, ""ko"", ""zh-cn"")"
스누피가든,"=GOOGLETRANSLATE(A27, ""ko"", ""zh-cn"")"
제주 스누피가든,"=GOOGLETRANSLATE(A28, ""ko"", ""zh-cn"")"
제주특별자치도 제주시 구좌읍 금백조로 930,"=GOOGLETRANSLATE(A29, ""ko"", ""zh-cn"")"
"부산 요트투어 요트가이 (폭죽, 폴라로이드) 광안리","=GOOGLETRANSLATE(A30, ""ko"", ""zh-cn"")"
요트가이,"=GOOGLETRANSLATE(A31, ""ko"", ""zh-cn"")"
부산 해운대구 우동 1393,"=GOOGLETRANSLATE(A32, ""ko"", ""zh-cn"")"
"4,900원","=GOOGLETRANSLATE(A33, ""ko"", ""zh-cn"")"
서귀포잠수함,"=GOOGLETRANSLATE(A34, ""ko"", ""zh-cn"")"
제주 서귀포시 남성중로 40,"=GOOGLETRANSLATE(A35, ""ko"", ""zh-cn"")"
메이즈랜드_성인,"=GOOGLETRANSLATE(A36, ""ko"", ""zh-cn"")"
메이즈랜드,"=GOOGLETRANSLATE(A37, ""ko"", ""zh-cn"")"
제주특별자치도 제주시 구좌읍 비자림로 2134-47 메이즈랜드,"=GOOGLETRANSLATE(A38, ""ko"", ""zh-cn"")"
항공우주박물관 전시+체험+공연 종합패키지,"=GOOGLETRANSLATE(A39, ""ko"", ""zh-cn"")"
항공우주박물관,"=GOOGLETRANSLATE(A40, ""ko"", ""zh-cn"")"
제주특별자치도 서귀포시 안덕면 녹차분재로 218,"=GOOGLETRANSLATE(A41, ""ko"", ""zh-cn"")"
음악 불꽃 크루즈 (여의도 터미널 출발),"=GOOGLETRANSLATE(A42, ""ko"", ""zh-cn"")"
서울크루즈,"=GOOGLETRANSLATE(A43, ""ko"", ""zh-cn"")"
여의도한강공원길 231 여의도 유람선터미널,"=GOOGLETRANSLATE(A44, ""ko"", ""zh-cn"")"
"37,000원","=GOOGLETRANSLATE(A45, ""ko"", ""zh-cn"")"
N서울타워 전망대+한쿡 레스토랑 PKG,"=GOOGLETRANSLATE(A46, ""ko"", ""zh-cn"")"
서울 용산구 남산공원길 105,"=GOOGLETRANSLATE(A47, ""ko"", ""zh-cn"")"
"61,900원","=GOOGLETRANSLATE(A48, ""ko"", ""zh-cn"")"
오션월드 종일권 (3/3~4/24),"=GOOGLETRANSLATE(A49, ""ko"", ""zh-cn"")"
홍천 비발디파크,"=GOOGLETRANSLATE(A50, ""ko"", ""zh-cn"")"
강원특별자치도 홍천군 서면 한치골길 262,"=GOOGLETRANSLATE(A51, ""ko"", ""zh-cn"")"
마산 로봇랜드 종일/오후 이용권 (~3/31),"=GOOGLETRANSLATE(A52, ""ko"", ""zh-cn"")"
해운대 한화리조트,"=GOOGLETRANSLATE(A53, ""ko"", ""zh-cn"")"
한화리조트 해운대,"=GOOGLETRANSLATE(A54, ""ko"", ""zh-cn"")"
부산 해운대구 마린시티3로 52,"=GOOGLETRANSLATE(A55, ""ko"", ""zh-cn"")"
"251,700원","=GOOGLETRANSLATE(A56, ""ko"", ""zh-cn"")"
에버랜드 Q-PASS: 판다월드,"=GOOGLETRANSLATE(A57, ""ko"", ""zh-cn"")"
경기 용인시 처인구 포곡읍 에버랜드로 199,"=GOOGLETRANSLATE(A58, ""ko"", ""zh-cn"")"
세라젬 웰파크 위례점 실내 키즈카페,"=GOOGLETRANSLATE(A59, ""ko"", ""zh-cn"")"
세라젬 웰파크,"=GOOGLETRANSLATE(A60, ""ko"", ""zh-cn"")"
서울 동대문구 고산자로32길 78,"=GOOGLETRANSLATE(A61, ""ko"", ""zh-cn"")"
옐레드 하남미사점 애견유치원 애견호텔 이용권,"=GOOGLETRANSLATE(A62, ""ko"", ""zh-cn"")"
옐레드,"=GOOGLETRANSLATE(A63, ""ko"", ""zh-cn"")"
경기 안산시 단원구 광덕대로 137,"=GOOGLETRANSLATE(A64, ""ko"", ""zh-cn"")"
월롱 딸기체험,"=GOOGLETRANSLATE(A65, ""ko"", ""zh-cn"")"
월롱딸기체험,"=GOOGLETRANSLATE(A66, ""ko"", ""zh-cn"")"
경기 파주시 월롱면 도감로 247,"=GOOGLETRANSLATE(A67, ""ko"", ""zh-cn"")"
엑스더스카이 전망대 입장권,"=GOOGLETRANSLATE(A68, ""ko"", ""zh-cn"")"
부산 엑스더스카이,"=GOOGLETRANSLATE(A69, ""ko"", ""zh-cn"")"
부산 해운대구 달맞이길 30,"=GOOGLETRANSLATE(A70, ""ko"", ""zh-cn"")"
팔공산 케이블카 왕복 이용권,"=GOOGLETRANSLATE(A71, ""ko"", ""zh-cn"")"
팔공산케이블카,"=GOOGLETRANSLATE(A72, ""ko"", ""zh-cn"")"
대구 동구 팔공산로185길 51,"=GOOGLETRANSLATE(A73, ""ko"", ""zh-cn"")"
"7,200원","=GOOGLETRANSLATE(A74, ""ko"", ""zh-cn"")"
아르떼뮤지엄,"=GOOGLETRANSLATE(A75, ""ko"", ""zh-cn"")"
남해양떼목장 이용권,"=GOOGLETRANSLATE(A76, ""ko"", ""zh-cn"")"
남해양떼목장,"=GOOGLETRANSLATE(A77, ""ko"", ""zh-cn"")"
경남 남해군 설천면 설천로775번길 364,"=GOOGLETRANSLATE(A78, ""ko"", ""zh-cn"")"
"3,600원","=GOOGLETRANSLATE(A79, ""ko"", ""zh-cn"")"
영종도 씨사이드 레일바이크 이용권,"=GOOGLETRANSLATE(A80, ""ko"", ""zh-cn"")"
씨사이드레일바이크,"=GOOGLETRANSLATE(A81, ""ko"", ""zh-cn"")"
