Original,TranslationFormula
꿈의 아리아 Aria of Dream [화성],"=GOOGLETRANSLATE(A2, ""ko"", ""ja"")"
백묵원 [대학로],"=GOOGLETRANSLATE(A3, ""ko"", ""ja"")"
겨울왕국: 겨울이야기 [의정부],"=GOOGLETRANSLATE(A4, ""ko"", ""ja"")"
신한대학교 벧엘관 대강당,"=GOOGLETRANSLATE(A5, ""ko"", ""ja"")"
경기 의정부시 호암로 95,"=GOOGLETRANSLATE(A6, ""ko"", ""ja"")"
꼬마박사 장영실 [군산],"=GOOGLETRANSLATE(A7, ""ko"", ""ja"")"
군산어린이공연장,"=GOOGLETRANSLATE(A8, ""ko"", ""ja"")"
전라북도 군산시 대학로 330 (나운동),"=GOOGLETRANSLATE(A9, ""ko"", ""ja"")"
"S석 30,000원
휠체어석 15,000원","=GOOGLETRANSLATE(A10, ""ko"", ""ja"")"
걸프렌드,"=GOOGLETRANSLATE(A11, ""ko"", ""ja"")"
오! 캐롤,"=GOOGLETRANSLATE(A12, ""ko"", ""ja"")"
팡팡매직쇼 [양주],"=GOOGLETRANSLATE(A13, ""ko"", ""ja"")"
"사전예약 9,900원","=GOOGLETRANSLATE(A14, ""ko"", ""ja"")"
나의 보통의 하루,"=GOOGLETRANSLATE(A15, ""ko"", ""ja"")"
NEW 망원동 브라더스 [충북 영동],"=GOOGLETRANSLATE(A16, ""ko"", ""ja"")"
영동복합문화예술회관,"=GOOGLETRANSLATE(A17, ""ko"", ""ja"")"
"엄마까투리: 유치원도, 도시도 처음이야 [익산]","=GOOGLETRANSLATE(A18, ""ko"", ""ja"")"
솜리문화예술회관 중공연장,"=GOOGLETRANSLATE(A19, ""ko"", ""ja"")"
전북특별자치도 익산시 선화1로 106,"=GOOGLETRANSLATE(A20, ""ko"", ""ja"")"
제139회 목포시립교향악단 정기연주회 [목포],"=GOOGLETRANSLATE(A21, ""ko"", ""ja"")"
목포시민문화체육센터 대공연장,"=GOOGLETRANSLATE(A22, ""ko"", ""ja"")"
"플라멩코랩 정기공연 (FlamencoLab) , Recuerdo: 어느 날의 기억","=GOOGLETRANSLATE(A23, ""ko"", ""ja"")"
아르떼 스튜디오,"=GOOGLETRANSLATE(A24, ""ko"", ""ja"")"
"문래재즈IN 기획 재즈콘서트, 연중스페셜: 임미정 & 박윤우 듀오 콘서트","=GOOGLETRANSLATE(A25, ""ko"", ""ja"")"
"현장판매 35,000원
사전예약 30,000원","=GOOGLETRANSLATE(A26, ""ko"", ""ja"")"
"11시 브런치 콘서트, 다뉴브의 추억","=GOOGLETRANSLATE(A27, ""ko"", ""ja"")"
금정문화회관 소공연장(은빛샘홀),"=GOOGLETRANSLATE(A28, ""ko"", ""ja"")"
충남 천안시 서북구 불당5길 25,"=GOOGLETRANSLATE(A29, ""ko"", ""ja"")"
어린이 마술쇼 [부천],"=GOOGLETRANSLATE(A30, ""ko"", ""ja"")"
오정아트홀,"=GOOGLETRANSLATE(A31, ""ko"", ""ja"")"
경기도 부천시 성오로 172 (오정동),"=GOOGLETRANSLATE(A32, ""ko"", ""ja"")"
"한밤의 공연 산책 Ⅳ, 포스트맨+서커스클래식","=GOOGLETRANSLATE(A33, ""ko"", ""ja"")"
"한밤의 공연 산책 Ⅲ, 낭만유랑극단","=GOOGLETRANSLATE(A34, ""ko"", ""ja"")"
할머니의 여름휴가 [김해],"=GOOGLETRANSLATE(A35, ""ko"", ""ja"")"
김해서부문화센터 하늬홀,"=GOOGLETRANSLATE(A36, ""ko"", ""ja"")"
경남 김해시 율하2로 210,"=GOOGLETRANSLATE(A37, ""ko"", ""ja"")"
황문희 피아노 독주회,"=GOOGLETRANSLATE(A38, ""ko"", ""ja"")"
남창전집,"=GOOGLETRANSLATE(A39, ""ko"", ""ja"")"
제302회 수원시립교향악단 정기연주회 [수원],"=GOOGLETRANSLATE(A40, ""ko"", ""ja"")"
"리케이댄스, 샤마 [대학로]","=GOOGLETRANSLATE(A41, ""ko"", ""ja"")"
우리가 사랑한 한국영화 OST 콘서트 [부천],"=GOOGLETRANSLATE(A42, ""ko"", ""ja"")"
"온: 콘서트, 염신혜 이철훈 Duo: 봄소풍","=GOOGLETRANSLATE(A43, ""ko"", ""ja"")"
"꾸러기음악회, 음악동물원","=GOOGLETRANSLATE(A44, ""ko"", ""ja"")"
신데렐라 [목포],"=GOOGLETRANSLATE(A45, ""ko"", ""ja"")"
페퍼톤스 어쿠스틱 라이브: 안락,"=GOOGLETRANSLATE(A46, ""ko"", ""ja"")"
이화여자대학교 영산극장,"=GOOGLETRANSLATE(A47, ""ko"", ""ja"")"
"국립무용단, 몽유도원무","=GOOGLETRANSLATE(A48, ""ko"", ""ja"")"
"하슬라 in 서울, 추일서정 (秋日抒情) : 김광균","=GOOGLETRANSLATE(A49, ""ko"", ""ja"")"
"VIP석 100,000원
R석 50,000원
S석 30,000원
A석 10,000원","=GOOGLETRANSLATE(A50, ""ko"", ""ja"")"
뮤지컬 배우 이승현 콘서트: SHank you for the music,"=GOOGLETRANSLATE(A51, ""ko"", ""ja"")"
스크루테이프의 편지 [대학로],"=GOOGLETRANSLATE(A52, ""ko"", ""ja"")"
미르하이의 찢어진 동화책 [군포],"=GOOGLETRANSLATE(A53, ""ko"", ""ja"")"
꼬리별,"=GOOGLETRANSLATE(A54, ""ko"", ""ja"")"
"R석 15,000원
S석 10,000원
A석 5,000원","=GOOGLETRANSLATE(A55, ""ko"", ""ja"")"
인어공주 [안산],"=GOOGLETRANSLATE(A56, ""ko"", ""ja"")"
안산올림픽기념관 대공연장,"=GOOGLETRANSLATE(A57, ""ko"", ""ja"")"
경기도 안산시 단원구 적금로 202,"=GOOGLETRANSLATE(A58, ""ko"", ""ja"")"
안녕하신가영 단독콘서트: 마음으로 스탠딩,"=GOOGLETRANSLATE(A59, ""ko"", ""ja"")"
아기돼지 삼형제 [충주],"=GOOGLETRANSLATE(A60, ""ko"", ""ja"")"
호암예술관,"=GOOGLETRANSLATE(A61, ""ko"", ""ja"")"
