Original,TranslationFormula
"서울시합창단, 가곡시대","=GOOGLETRANSLATE(A2, ""ko"", ""ja"")"
최고다 호기심딱지 시즌3: 동화나라 구출 대작전 [포항],"=GOOGLETRANSLATE(A3, ""ko"", ""ja"")"
지브리와 사랑에 빠지다: 지브리 영화음악 콘서트 스페셜 [포항],"=GOOGLETRANSLATE(A4, ""ko"", ""ja"")"
CINEMA IN CLASSIC: 지브리 픽사 영화음악 OST,"=GOOGLETRANSLATE(A5, ""ko"", ""ja"")"
비원뮤직홀 콘서트홀,"=GOOGLETRANSLATE(A6, ""ko"", ""ja"")"
대구 서구 달서천로 374,"=GOOGLETRANSLATE(A7, ""ko"", ""ja"")"
"엄마까투리: 유치원도, 도시도 처음이야 [구리]","=GOOGLETRANSLATE(A8, ""ko"", ""ja"")"
제450회 인천시립교향악단 정기연주회: 인천시향의 말러,"=GOOGLETRANSLATE(A9, ""ko"", ""ja"")"
제449회 인천시립교향악단 정기연주회: 인천시향과 크리스토프 포펜,"=GOOGLETRANSLATE(A10, ""ko"", ""ja"")"
제448회 인천시립교향악단 정기연주회: 인천시향의 브람스,"=GOOGLETRANSLATE(A11, ""ko"", ""ja"")"
제447회 인천시립교향악단 정기연주회: 인천시향의 버르토크,"=GOOGLETRANSLATE(A12, ""ko"", ""ja"")"
제445회 인천시립교향악단 정기연주회,"=GOOGLETRANSLATE(A13, ""ko"", ""ja"")"
제446회 인천시립교향악단 정기연주회: 창단 60주년 기념음악회,"=GOOGLETRANSLATE(A14, ""ko"", ""ja"")"
제444회 인천시립교향악단 정기연주회,"=GOOGLETRANSLATE(A15, ""ko"", ""ja"")"
제443회 인천시립교향악단 정기연주회: 인천시향의 드보르자크,"=GOOGLETRANSLATE(A16, ""ko"", ""ja"")"
제442회 인천시립교향악단 정기연주회: 인천시향의 말러,"=GOOGLETRANSLATE(A17, ""ko"", ""ja"")"
지브리를 품은 클래식: 바람이 피어나는 계절,"=GOOGLETRANSLATE(A18, ""ko"", ""ja"")"
아마자라시 아시아투어,"=GOOGLETRANSLATE(A19, ""ko"", ""ja"")"
"데뷔 60주년 기념공연, 남진 전국투어 콘서트 [수원]","=GOOGLETRANSLATE(A20, ""ko"", ""ja"")"
"VIP석 143,000원
R석 121,000원
S석 88,000원
A석 77,000원","=GOOGLETRANSLATE(A21, ""ko"", ""ja"")"
The 심수봉 SHOW [수원],"=GOOGLETRANSLATE(A22, ""ko"", ""ja"")"
"VIP석 132,000원
R석 110,000원
S석 88,000원
A석 77,000원","=GOOGLETRANSLATE(A23, ""ko"", ""ja"")"
신데렐라 [인천 남동],"=GOOGLETRANSLATE(A24, ""ko"", ""ja"")"
겨울왕국: 겨울이야기 [익산],"=GOOGLETRANSLATE(A25, ""ko"", ""ja"")"
"크라프트베르크 내한공연, Kraftwerk Multimedia Tour in Seoul","=GOOGLETRANSLATE(A26, ""ko"", ""ja"")"
러브 내한공연 (luv ASIA TOUR in SEOUL),"=GOOGLETRANSLATE(A27, ""ko"", ""ja"")"
겨울왕국: 겨울이야기 [이천],"=GOOGLETRANSLATE(A28, ""ko"", ""ja"")"
"국립심포니오케스트라, 영화음악 콘서트","=GOOGLETRANSLATE(A29, ""ko"", ""ja"")"
"R석 80,000원
S석 50,000원
A석 30,000원
B석 10,000원","=GOOGLETRANSLATE(A30, ""ko"", ""ja"")"
"제266회 국립심포니오케스트라 정기연주회: 파야, 삼각모자 모음곡","=GOOGLETRANSLATE(A31, ""ko"", ""ja"")"
"제264회 국립심포니오케스트라 정기연주회: 멘델스존, 교향곡 4번 이탈리아","=GOOGLETRANSLATE(A32, ""ko"", ""ja"")"
"제267회 국립심포니오케스트라 정기연주회: 슈만, 교향곡 2번","=GOOGLETRANSLATE(A33, ""ko"", ""ja"")"
"국립심포니오케스트라, 영화음악 콘서트: 할리우드 블록버스터","=GOOGLETRANSLATE(A34, ""ko"", ""ja"")"
"제268회 국립심포니오케스트라 정기연주회: 멘델스존, 교향곡 3번 스코틀랜드","=GOOGLETRANSLATE(A35, ""ko"", ""ja"")"
"제265회 국립심포니오케스트라 정기연주회: 베토벤, 교향곡 7번","=GOOGLETRANSLATE(A36, ""ko"", ""ja"")"
오스카상 수상 작곡가 제임스 호너의 타이타닉 & 아바타 라이브 백-투-백 필름 콘서트,"=GOOGLETRANSLATE(A37, ""ko"", ""ja"")"
"VIP석 187,000원
R석 154,000원
S석 132,000원
A석 110,000원
B석 99,000원
C석 66,000원","=GOOGLETRANSLATE(A38, ""ko"", ""ja"")"
"제263회 국립심포니오케스트라 정기연주회: 거슈윈, 파리의 아메리카인","=GOOGLETRANSLATE(A39, ""ko"", ""ja"")"
제824회 KBS교향악단 정기연주회,"=GOOGLETRANSLATE(A40, ""ko"", ""ja"")"
에그박사: 해적 보물섬의 비밀 [오산],"=GOOGLETRANSLATE(A41, ""ko"", ""ja"")"
제4회 고3형민 노예해방쇼,"=GOOGLETRANSLATE(A42, ""ko"", ""ja"")"
"아름다운 목요일 영 오디세이: 베토벤, Ⅲ. 윤해원 & 박원민 & 진영훈 Violin","=GOOGLETRANSLATE(A43, ""ko"", ""ja"")"
"아름다운 목요일 영 오디세이: 베토벤, Ⅰ. 이현정 & 손지우 Violin","=GOOGLETRANSLATE(A44, ""ko"", ""ja"")"
"아름다운 목요일 영 오디세이: 모차르트, Ⅳ. 이정우 & 김아인 Piano","=GOOGLETRANSLATE(A45, ""ko"", ""ja"")"
"아름다운 목요일 영 오디세이: 모차르트, III. 남예서 & 홍석영 & 박해림 Piano","=GOOGLETRANSLATE(A46, ""ko"", ""ja"")"
"아름다운 목요일 영 오디세이: 모차르트, Ⅱ. 남예서 & 이정우 Piano","=GOOGLETRANSLATE(A47, ""ko"", ""ja"")"
"아름다운 목요일 영 오디세이: 모차르트, Ⅰ. 홍석영 & 박해림 & 김아인 Piano","=GOOGLETRANSLATE(A48, ""ko"", ""ja"")"
"아름다운 목요일 스페이스, 트리오 오원 Piano Trio","=GOOGLETRANSLATE(A49, ""ko"", ""ja"")"
"아름다운 목요일 스페이스, 노부스 콰르텟 String Quartet","=GOOGLETRANSLATE(A50, ""ko"", ""ja"")"
"아름다운 목요일 스페이스, 김다솔 Piano","=GOOGLETRANSLATE(A51, ""ko"", ""ja"")"
"아름다운 목요일 스페이스, 김다미 Violin","=GOOGLETRANSLATE(A52, ""ko"", ""ja"")"
"아름다운 목요일 스페셜 콘서트, 윤이상국제음악콩쿠르 박성용영재특별상 수상자 음악회, 이재리 Cello","=GOOGLETRANSLATE(A53, ""ko"", ""ja"")"
"아름다운 목요일 금호아트홀 상주음악가, 바리톤 김태한: 페르소나 Ⅳ. 고독","=GOOGLETRANSLATE(A54, ""ko"", ""ja"")"
"아름다운 목요일 금호아트홀 상주음악가, 바리톤 김태한: 페르소나 Ⅲ. 사랑","=GOOGLETRANSLATE(A55, ""ko"", ""ja"")"
"아름다운 목요일 금호아트홀 상주음악가, 바리톤 김태한: 페르소나 Ⅱ. 관계","=GOOGLETRANSLATE(A56, ""ko"", ""ja"")"
"아름다운 목요일 금호솔로이스츠, 금호솔로이스츠: 선율의 항해 Ⅳ. 러시아, 영혼의 기록","=GOOGLETRANSLATE(A57, ""ko"", ""ja"")"
"아름다운 목요일 금호솔로이스츠, 금호솔로이스츠: 선율의 항해 Ⅲ. 오스트리아, 전통의 숨결","=GOOGLETRANSLATE(A58, ""ko"", ""ja"")"
"아름다운 목요일 금호솔로이스츠, 금호솔로이스츠: 선율의 항해 Ⅱ. 동유럽, 사랑과 열정으로","=GOOGLETRANSLATE(A59, ""ko"", ""ja"")"
