Original,TranslationFormula
1세대 건축가의 이야기를 볼 수 있는 박물관,"=GOOGLETRANSLATE(A2, ""ko"", ""en"")"
대구 중구 중앙대로 449지도보기,"=GOOGLETRANSLATE(A3, ""ko"", ""en"")"
대구의 역사와 옛 모습을 볼 수 있는 전시관,"=GOOGLETRANSLATE(A4, ""ko"", ""en"")"
테디베어와 전세계를 여행하고 문화를 배워보는 시간,"=GOOGLETRANSLATE(A5, ""ko"", ""en"")"
만세의 의미를 새겨볼 수 있는 기념관,"=GOOGLETRANSLATE(A6, ""ko"", ""en"")"
돌고래도 보고 차모로 문화도 체험해 볼 수 있는 곳,"=GOOGLETRANSLATE(A7, ""ko"", ""en"")"
놀이를 통해 쉽고 재미있게 배우는 수학,"=GOOGLETRANSLATE(A8, ""ko"", ""en"")"
아이와 함께 자연을 배우는 공간,"=GOOGLETRANSLATE(A9, ""ko"", ""en"")"
다양한 콘셉트의 테디베어를 만날 수 있는 테마 박물관,"=GOOGLETRANSLATE(A10, ""ko"", ""en"")"
의사 체험과 함께 인생의 소중한 가치들을 배울 기회,"=GOOGLETRANSLATE(A11, ""ko"", ""en"")"
자동차 특화 리조트에서 만나는 다양한 올드카,"=GOOGLETRANSLATE(A12, ""ko"", ""en"")"
실내 체험 가득한 어린이 박물관,"=GOOGLETRANSLATE(A13, ""ko"", ""en"")"
DMZ의 자연을 오감으로 느끼는 도심 속 힐링 체험관,"=GOOGLETRANSLATE(A14, ""ko"", ""en"")"
중국 문화를 배우고 체험할 수 있는 전시관,"=GOOGLETRANSLATE(A15, ""ko"", ""en"")"
천년고도 목사고을 나주의 역사를 재미있게,"=GOOGLETRANSLATE(A16, ""ko"", ""en"")"
인생샷 가능한 오감만족 미디어 전시,"=GOOGLETRANSLATE(A17, ""ko"", ""en"")"
아이와 가기 좋은 실내 무료 박물관,"=GOOGLETRANSLATE(A18, ""ko"", ""en"")"
의정부 구석구석 다니면서 스탬프 획득해요,"=GOOGLETRANSLATE(A19, ""ko"", ""en"")"
아이들을 위한 체험거리가 많은 평화기념관,"=GOOGLETRANSLATE(A20, ""ko"", ""en"")"
화려했던 백제 사비시기를 만나요,"=GOOGLETRANSLATE(A21, ""ko"", ""en"")"
영종도의 역사와 가치를 담은 박물관,"=GOOGLETRANSLATE(A22, ""ko"", ""en"")"
안양천 탐험으로 배우는 생태이야기,"=GOOGLETRANSLATE(A23, ""ko"", ""en"")"
인공 소나기 체험하며 비 맞고 놀자,"=GOOGLETRANSLATE(A24, ""ko"", ""en"")"
"조선시대부터 현재에 이르기까지, 한양도성의 역사와 문화","=GOOGLETRANSLATE(A25, ""ko"", ""en"")"
국악의 고장 영동 난계국악박물관,"=GOOGLETRANSLATE(A26, ""ko"", ""en"")"
이봉창 의사에 관한 모든 것,"=GOOGLETRANSLATE(A27, ""ko"", ""en"")"
세계 문화를 다양하게 즐길 수 있는 곳,"=GOOGLETRANSLATE(A28, ""ko"", ""en"")"
우리나라 최초의 호텔을 가보다!,"=GOOGLETRANSLATE(A29, ""ko"", ""en"")"
서울의 옛 기록을 찾아 떠나는 여정,"=GOOGLETRANSLATE(A30, ""ko"", ""en"")"
백제의 첫 수도에서 배우는 역사,"=GOOGLETRANSLATE(A31, ""ko"", ""en"")"
경기 수원시 장안구 장안로458번길 9지도보기,"=GOOGLETRANSLATE(A32, ""ko"", ""en"")"
우리 아이 취향 저격 똥 박물관,"=GOOGLETRANSLATE(A33, ""ko"", ""en"")"
반짝반짝 빛나는 숲속마을,"=GOOGLETRANSLATE(A34, ""ko"", ""en"")"
우주와 비행기에 대한 아이들의 호기심을 해결해 줄 곳,"=GOOGLETRANSLATE(A35, ""ko"", ""en"")"
20여가지의 직업체험을 통해 꿈을 심어줄 공간,"=GOOGLETRANSLATE(A36, ""ko"", ""en"")"
무료로 한복체험과 재밌는 전시까지 한번에!,"=GOOGLETRANSLATE(A37, ""ko"", ""en"")"
대한민국 최대 규모 민화들이 한자리에,"=GOOGLETRANSLATE(A38, ""ko"", ""en"")"
재난안전에 대해 설명도 듣고 체험도 할 수 있는 곳,"=GOOGLETRANSLATE(A39, ""ko"", ""en"")"
"은평의 역사와 문화, 한옥의 미래가 머무르는 공간","=GOOGLETRANSLATE(A40, ""ko"", ""en"")"
아름다운 건물 속에 묻어 있는 우리의 역사,"=GOOGLETRANSLATE(A41, ""ko"", ""en"")"
아이가 직접 막국수를 만들어 먹어 볼 수 있는 곳,"=GOOGLETRANSLATE(A42, ""ko"", ""en"")"
여러 악기를 접하고 체험해볼 수 있는 악기 박물관,"=GOOGLETRANSLATE(A43, ""ko"", ""en"")"
대부도 갯벌 생태계와 어촌 히스토리를 볼 수 있는 곳,"=GOOGLETRANSLATE(A44, ""ko"", ""en"")"
할머니 할아버지가 살아온 시간은 말이야,"=GOOGLETRANSLATE(A45, ""ko"", ""en"")"
"박물관, 미디어아트, 야외카페, 산책을 한번에","=GOOGLETRANSLATE(A46, ""ko"", ""en"")"
미래로 여행을 떠나는 열차 타요,"=GOOGLETRANSLATE(A47, ""ko"", ""en"")"
라떼는 말야~ 추억의 7080 박물관,"=GOOGLETRANSLATE(A48, ""ko"", ""en"")"
서울 근교에서 즐기는 중남미 여행,"=GOOGLETRANSLATE(A49, ""ko"", ""en"")"
4시간 동안 무료로 즐기는 다양한 체험거리!,"=GOOGLETRANSLATE(A50, ""ko"", ""en"")"
100년이 넘는 한국영화의 역사를 담은 곳,"=GOOGLETRANSLATE(A51, ""ko"", ""en"")"
"무료로 배우는 아름다운 우리땅, 독도","=GOOGLETRANSLATE(A52, ""ko"", ""en"")"
옛날 산골 생활을 알아볼 수 있는 전통공간,"=GOOGLETRANSLATE(A53, ""ko"", ""en"")"
김유정의 생애와 문학을 체험할 수 있는 장소,"=GOOGLETRANSLATE(A54, ""ko"", ""en"")"
자연을 가까이서 즐길 수 있는 생태 환경의 공간,"=GOOGLETRANSLATE(A55, ""ko"", ""en"")"
잠수함을 타고 물고기를 볼 수 있는 곳,"=GOOGLETRANSLATE(A56, ""ko"", ""en"")"
어린이 눈높이에 맞춰 체험할 수 있는 공간,"=GOOGLETRANSLATE(A57, ""ko"", ""en"")"
아이부터 성인까지 즐기는 천문스쿨,"=GOOGLETRANSLATE(A58, ""ko"", ""en"")"
전 세계의 코카콜라를 만나 볼 수 있는 이색 박물관,"=GOOGLETRANSLATE(A59, ""ko"", ""en"")"
전문가의 쉽고 재밌는 이야기로 떠나는 별빛여행!,"=GOOGLETRANSLATE(A60, ""ko"", ""en"")"
별과 우주의 신비를 쉽게 만날 수 있는 곳,"=GOOGLETRANSLATE(A61, ""ko"", ""en"")"
"역사를 기억하고, 평화를 소망하는 공간","=GOOGLETRANSLATE(A62, ""ko"", ""en"")"
다양한 약재를 한눈에 볼 수 있는 공간,"=GOOGLETRANSLATE(A63, ""ko"", ""en"")"
꼬마 친구들을 위한 특별한 예술 공간,"=GOOGLETRANSLATE(A64, ""ko"", ""en"")"
백두대간의 모든 것을 알아보고 체험할 수 있는 공간,"=GOOGLETRANSLATE(A65, ""ko"", ""en"")"
아이들과 함께 힐링 할 수 있는 유아 숲체험원,"=GOOGLETRANSLATE(A66, ""ko"", ""en"")"
어린이 전시실이 있는 화성시 독립운동 기념관,"=GOOGLETRANSLATE(A67, ""ko"", ""en"")"
소래의 역사와 문화를 알 수 있는 시간 여행 장소,"=GOOGLETRANSLATE(A68, ""ko"", ""en"")"
다양한 체험과 함께하며 배우는 금강의 생태계,"=GOOGLETRANSLATE(A69, ""ko"", ""en"")"
산성에 대해 배울 수 있는 산성 전문 박물관,"=GOOGLETRANSLATE(A70, ""ko"", ""en"")"
만 원으로 물레 체험이 가능한 도자기 전시관,"=GOOGLETRANSLATE(A71, ""ko"", ""en"")"
통일의 염원을 담은 공간,"=GOOGLETRANSLATE(A72, ""ko"", ""en"")"
대표적인 독립운동가 조소앙 선생의 발자취를 따라서,"=GOOGLETRANSLATE(A73, ""ko"", ""en"")"
무료 공룡 미디어아트관!,"=GOOGLETRANSLATE(A74, ""ko"", ""en"")"
다양하게 동굴을 보고 느낄 수 있는 곳,"=GOOGLETRANSLATE(A75, ""ko"", ""en"")"
과거와 현재가 과학으로 통하는 공간,"=GOOGLETRANSLATE(A76, ""ko"", ""en"")"
민속놀이 체험이 가능한 문화 예술공간,"=GOOGLETRANSLATE(A77, ""ko"", ""en"")"
국내 유일의 모형 전문 박물관,"=GOOGLETRANSLATE(A78, ""ko"", ""en"")"
남해 죽방렴에 대해 배워볼 수 있는 전시관,"=GOOGLETRANSLATE(A79, ""ko"", ""en"")"
나만의 소망등을 만들어볼 수 있는 전시관,"=GOOGLETRANSLATE(A80, ""ko"", ""en"")"
곤충과 파충류를 직접 보고 체험하는 박물관,"=GOOGLETRANSLATE(A81, ""ko"", ""en"")"
옛 진주역에서 즐기는 추억 여행,"=GOOGLETRANSLATE(A82, ""ko"", ""en"")"
공원 안에서 교통 교육과 안전 체험을 동시에,"=GOOGLETRANSLATE(A83, ""ko"", ""en"")"
분단을 이해하고 통일을 상상하는 통일교육,"=GOOGLETRANSLATE(A84, ""ko"", ""en"")"
생생한 해양동물을 체험할 수 있는 곳,"=GOOGLETRANSLATE(A85, ""ko"", ""en"")"
안전의 소중함을 배워보는 안전 체험 공간,"=GOOGLETRANSLATE(A86, ""ko"", ""en"")"
아이와 다양한 체험 놀이를 할 수 있는 무료 놀이터,"=GOOGLETRANSLATE(A87, ""ko"", ""en"")"
"영화의 모든 것을 보고, 느끼고, 즐기는 공간","=GOOGLETRANSLATE(A88, ""ko"", ""en"")"
곤충 좋아하는 아이는 모두 모이세요!,"=GOOGLETRANSLATE(A89, ""ko"", ""en"")"
아이와 함께하는 살아있는 곤충 체험!,"=GOOGLETRANSLATE(A90, ""ko"", ""en"")"
공룡과 나비에 대해 배워볼 수 있는 무료 박물관,"=GOOGLETRANSLATE(A91, ""ko"", ""en"")"
불교의 역사와 문화를 보존하고 있는 박물관,"=GOOGLETRANSLATE(A92, ""ko"", ""en"")"
율곡 미술 대전 수상작품을 볼 수 있는 곳,"=GOOGLETRANSLATE(A93, ""ko"", ""en"")"
다양한 체험 프로그램을 통해 한지에 대해 이해하기,"=GOOGLETRANSLATE(A94, ""ko"", ""en"")"
고성 바다 속을 탐험하며 해양 생물들을 배워가는 시간,"=GOOGLETRANSLATE(A95, ""ko"", ""en"")"
현대미술과 감성을 채우는 곳,"=GOOGLETRANSLATE(A96, ""ko"", ""en"")"
오션뷰 전당에서 재밌게 역사 공부하기,"=GOOGLETRANSLATE(A97, ""ko"", ""en"")"
AI로 만나보는 디지털 놀이터,"=GOOGLETRANSLATE(A98, ""ko"", ""en"")"
무대가 만들어지는 과정을 배울 수 있는 곳,"=GOOGLETRANSLATE(A99, ""ko"", ""en"")"
우리나라 최초의 이민사 박물관,"=GOOGLETRANSLATE(A100, ""ko"", ""en"")"
역사문화도시인 화성에 대해 공부하기,"=GOOGLETRANSLATE(A101, ""ko"", ""en"")"
다양한 동물과 곤충을 찾아 떠나는 대모험,"=GOOGLETRANSLATE(A102, ""ko"", ""en"")"
체험과 전시를 통해 알게 되는 여주의 역사,"=GOOGLETRANSLATE(A103, ""ko"", ""en"")"
재미있고 유익하기까지 한 최고의 어린이 박물관,"=GOOGLETRANSLATE(A104, ""ko"", ""en"")"
자연을 모티브로한 생태체험관,"=GOOGLETRANSLATE(A105, ""ko"", ""en"")"
아이에게 대한민국의 역사를 직접 체험하고 느끼게 해줄 곳,"=GOOGLETRANSLATE(A106, ""ko"", ""en"")"
대학교 캠퍼스에서 보는 알찬 전시,"=GOOGLETRANSLATE(A107, ""ko"", ""en"")"
하수처리장 방류수를 재이용한 생태 학습관,"=GOOGLETRANSLATE(A108, ""ko"", ""en"")"
우리나라 세금의 역사를 배우고 체험해봐요,"=GOOGLETRANSLATE(A109, ""ko"", ""en"")"
국내 최초 간척 전문 박물관! 세계의 간척 역사를 배워요,"=GOOGLETRANSLATE(A110, ""ko"", ""en"")"
코딩 꿈나무들과 게임 덕후들의 놀이터,"=GOOGLETRANSLATE(A111, ""ko"", ""en"")"
귀여운 곰인형이 가득한 제주도 박물관,"=GOOGLETRANSLATE(A112, ""ko"", ""en"")"
한국 근현대 광고를 한 눈에 볼 수 있는 박물관,"=GOOGLETRANSLATE(A113, ""ko"", ""en"")"
버려지는 쓰레기에 디자인과 활용성을 체험할 수 있는 공간,"=GOOGLETRANSLATE(A114, ""ko"", ""en"")"
