Original,TranslationFormula
백묵원 [대학로],"=GOOGLETRANSLATE(A2, ""ko"", ""zh-cn"")"
겨울왕국: 겨울이야기 [의정부],"=GOOGLETRANSLATE(A3, ""ko"", ""zh-cn"")"
신한대학교 벧엘관 대강당,"=GOOGLETRANSLATE(A4, ""ko"", ""zh-cn"")"
경기 의정부시 호암로 95,"=GOOGLETRANSLATE(A5, ""ko"", ""zh-cn"")"
꼬마박사 장영실 [군산],"=GOOGLETRANSLATE(A6, ""ko"", ""zh-cn"")"
군산어린이공연장,"=GOOGLETRANSLATE(A7, ""ko"", ""zh-cn"")"
전라북도 군산시 대학로 330 (나운동),"=GOOGLETRANSLATE(A8, ""ko"", ""zh-cn"")"
"S석 30,000원
휠체어석 15,000원","=GOOGLETRANSLATE(A9, ""ko"", ""zh-cn"")"
걸프렌드,"=GOOGLETRANSLATE(A10, ""ko"", ""zh-cn"")"
오! 캐롤,"=GOOGLETRANSLATE(A11, ""ko"", ""zh-cn"")"
팡팡매직쇼 [양주],"=GOOGLETRANSLATE(A12, ""ko"", ""zh-cn"")"
"사전예약 9,900원","=GOOGLETRANSLATE(A13, ""ko"", ""zh-cn"")"
나의 보통의 하루,"=GOOGLETRANSLATE(A14, ""ko"", ""zh-cn"")"
NEW 망원동 브라더스 [충북 영동],"=GOOGLETRANSLATE(A15, ""ko"", ""zh-cn"")"
영동복합문화예술회관,"=GOOGLETRANSLATE(A16, ""ko"", ""zh-cn"")"
"엄마까투리: 유치원도, 도시도 처음이야 [익산]","=GOOGLETRANSLATE(A17, ""ko"", ""zh-cn"")"
솜리문화예술회관 중공연장,"=GOOGLETRANSLATE(A18, ""ko"", ""zh-cn"")"
전북특별자치도 익산시 선화1로 106,"=GOOGLETRANSLATE(A19, ""ko"", ""zh-cn"")"
제139회 목포시립교향악단 정기연주회 [목포],"=GOOGLETRANSLATE(A20, ""ko"", ""zh-cn"")"
목포시민문화체육센터 대공연장,"=GOOGLETRANSLATE(A21, ""ko"", ""zh-cn"")"
"플라멩코랩 정기공연 (FlamencoLab) , Recuerdo: 어느 날의 기억","=GOOGLETRANSLATE(A22, ""ko"", ""zh-cn"")"
아르떼 스튜디오,"=GOOGLETRANSLATE(A23, ""ko"", ""zh-cn"")"
"문래재즈IN 기획 재즈콘서트, 연중스페셜: 임미정 & 박윤우 듀오 콘서트","=GOOGLETRANSLATE(A24, ""ko"", ""zh-cn"")"
"현장판매 35,000원
사전예약 30,000원","=GOOGLETRANSLATE(A25, ""ko"", ""zh-cn"")"
"11시 브런치 콘서트, 다뉴브의 추억","=GOOGLETRANSLATE(A26, ""ko"", ""zh-cn"")"
금정문화회관 소공연장(은빛샘홀),"=GOOGLETRANSLATE(A27, ""ko"", ""zh-cn"")"
충남 천안시 서북구 불당5길 25,"=GOOGLETRANSLATE(A28, ""ko"", ""zh-cn"")"
어린이 마술쇼 [부천],"=GOOGLETRANSLATE(A29, ""ko"", ""zh-cn"")"
오정아트홀,"=GOOGLETRANSLATE(A30, ""ko"", ""zh-cn"")"
경기도 부천시 성오로 172 (오정동),"=GOOGLETRANSLATE(A31, ""ko"", ""zh-cn"")"
"한밤의 공연 산책 Ⅳ, 포스트맨+서커스클래식","=GOOGLETRANSLATE(A32, ""ko"", ""zh-cn"")"
"한밤의 공연 산책 Ⅲ, 낭만유랑극단","=GOOGLETRANSLATE(A33, ""ko"", ""zh-cn"")"
할머니의 여름휴가 [김해],"=GOOGLETRANSLATE(A34, ""ko"", ""zh-cn"")"
김해서부문화센터 하늬홀,"=GOOGLETRANSLATE(A35, ""ko"", ""zh-cn"")"
경남 김해시 율하2로 210,"=GOOGLETRANSLATE(A36, ""ko"", ""zh-cn"")"
황문희 피아노 독주회,"=GOOGLETRANSLATE(A37, ""ko"", ""zh-cn"")"
남창전집,"=GOOGLETRANSLATE(A38, ""ko"", ""zh-cn"")"
제302회 수원시립교향악단 정기연주회 [수원],"=GOOGLETRANSLATE(A39, ""ko"", ""zh-cn"")"
"리케이댄스, 샤마 [대학로]","=GOOGLETRANSLATE(A40, ""ko"", ""zh-cn"")"
우리가 사랑한 한국영화 OST 콘서트 [부천],"=GOOGLETRANSLATE(A41, ""ko"", ""zh-cn"")"
"온: 콘서트, 염신혜 이철훈 Duo: 봄소풍","=GOOGLETRANSLATE(A42, ""ko"", ""zh-cn"")"
"꾸러기음악회, 음악동물원","=GOOGLETRANSLATE(A43, ""ko"", ""zh-cn"")"
신데렐라 [목포],"=GOOGLETRANSLATE(A44, ""ko"", ""zh-cn"")"
페퍼톤스 어쿠스틱 라이브: 안락,"=GOOGLETRANSLATE(A45, ""ko"", ""zh-cn"")"
이화여자대학교 영산극장,"=GOOGLETRANSLATE(A46, ""ko"", ""zh-cn"")"
"국립무용단, 몽유도원무","=GOOGLETRANSLATE(A47, ""ko"", ""zh-cn"")"
"하슬라 in 서울, 추일서정 (秋日抒情) : 김광균","=GOOGLETRANSLATE(A48, ""ko"", ""zh-cn"")"
"VIP석 100,000원
R석 50,000원
S석 30,000원
A석 10,000원","=GOOGLETRANSLATE(A49, ""ko"", ""zh-cn"")"
뮤지컬 배우 이승현 콘서트: SHank you for the music,"=GOOGLETRANSLATE(A50, ""ko"", ""zh-cn"")"
스크루테이프의 편지 [대학로],"=GOOGLETRANSLATE(A51, ""ko"", ""zh-cn"")"
미르하이의 찢어진 동화책 [군포],"=GOOGLETRANSLATE(A52, ""ko"", ""zh-cn"")"
꼬리별,"=GOOGLETRANSLATE(A53, ""ko"", ""zh-cn"")"
"R석 15,000원
S석 10,000원
A석 5,000원","=GOOGLETRANSLATE(A54, ""ko"", ""zh-cn"")"
