Original,TranslationFormula
판타지 버블쇼 [김포],"=GOOGLETRANSLATE(A2, ""ko"", ""ja"")"
김포한강괜찮은홀,"=GOOGLETRANSLATE(A3, ""ko"", ""ja"")"
경기도 김포시 양촌읍 석모로 103 (석모리),"=GOOGLETRANSLATE(A4, ""ko"", ""ja"")"
히든퍼즐 [대학로],"=GOOGLETRANSLATE(A5, ""ko"", ""ja"")"
소셜베뉴 라움 체임버홀,"=GOOGLETRANSLATE(A6, ""ko"", ""ja"")"
서울 강남구 언주로 564,"=GOOGLETRANSLATE(A7, ""ko"", ""ja"")"
월드아트 서커스 [당진],"=GOOGLETRANSLATE(A8, ""ko"", ""ja"")"
월드아트 서커스,"=GOOGLETRANSLATE(A9, ""ko"", ""ja"")"
충청남도 당진시 신평면 삽교천길 90-16,"=GOOGLETRANSLATE(A10, ""ko"", ""ja"")"
"서울시발레단, 더블 빌: Bliss & Jakie","=GOOGLETRANSLATE(A11, ""ko"", ""ja"")"
세종문화회관 세종M씨어터,"=GOOGLETRANSLATE(A12, ""ko"", ""ja"")"
토요명품,"=GOOGLETRANSLATE(A13, ""ko"", ""ja"")"
노인의 꿈 [서울 강서],"=GOOGLETRANSLATE(A14, ""ko"", ""ja"")"
LG아트센터 서울 U+ 스테이지,"=GOOGLETRANSLATE(A15, ""ko"", ""ja"")"
판타스틱 체인지,"=GOOGLETRANSLATE(A16, ""ko"", ""ja"")"
맥거핀 서교,"=GOOGLETRANSLATE(A17, ""ko"", ""ja"")"
서울특별시 마포구 양화로7길 28(서교동),"=GOOGLETRANSLATE(A18, ""ko"", ""ja"")"
"주말(휴일) 관람권 29,000원
평일 관람권 25,000원","=GOOGLETRANSLATE(A19, ""ko"", ""ja"")"
청춘 온에어 [대학로],"=GOOGLETRANSLATE(A20, ""ko"", ""ja"")"
에이치씨어터 익스트림씨어터 2관,"=GOOGLETRANSLATE(A21, ""ko"", ""ja"")"
서울 종로구 이화장길 54,"=GOOGLETRANSLATE(A22, ""ko"", ""ja"")"
아빠와 딸 [대학로],"=GOOGLETRANSLATE(A23, ""ko"", ""ja"")"
세우아트센터 2관,"=GOOGLETRANSLATE(A24, ""ko"", ""ja"")"
서울 종로구 대학로12길 49,"=GOOGLETRANSLATE(A25, ""ko"", ""ja"")"
시그널,"=GOOGLETRANSLATE(A26, ""ko"", ""ja"")"
아신극장 2관 (2층),"=GOOGLETRANSLATE(A27, ""ko"", ""ja"")"
스페셜 보잉보잉 [대학로],"=GOOGLETRANSLATE(A28, ""ko"", ""ja"")"
빨래: 31차 프로덕션,"=GOOGLETRANSLATE(A29, ""ko"", ""ja"")"
유니플렉스 2관(중극장),"=GOOGLETRANSLATE(A30, ""ko"", ""ja"")"
스폿라이트 [대학로],"=GOOGLETRANSLATE(A31, ""ko"", ""ja"")"
서울특별시 종로구 대명1길 7 (명륜4가),"=GOOGLETRANSLATE(A32, ""ko"", ""ja"")"
꿀벌 마야의 모험 [용인],"=GOOGLETRANSLATE(A33, ""ko"", ""ja"")"
"전석 44,000원","=GOOGLETRANSLATE(A34, ""ko"", ""ja"")"
흉터 [서울 홍대],"=GOOGLETRANSLATE(A35, ""ko"", ""ja"")"
홍대 씨어터 윤,"=GOOGLETRANSLATE(A36, ""ko"", ""ja"")"
