Original,TranslationFormula
허예름 개인전 [원본은 없다 버전 투],"=GOOGLETRANSLATE(A2, ""ko"", ""ja"")"
청년예술청 SAPY,"=GOOGLETRANSLATE(A3, ""ko"", ""ja"")"
"서울특별시 서대문구 경기대로 26-26 (충정로3가, 더스타일하우스디센트럴)","=GOOGLETRANSLATE(A4, ""ko"", ""ja"")"
M 마티네 [MAC 모닝 콘서트 #1~3] 패키지,"=GOOGLETRANSLATE(A5, ""ko"", ""ja"")"
마포아트센터,"=GOOGLETRANSLATE(A6, ""ko"", ""ja"")"
서울특별시 마포구 대흥로20길 28 (대흥동),"=GOOGLETRANSLATE(A7, ""ko"", ""ja"")"
"패키지 48,000원","=GOOGLETRANSLATE(A8, ""ko"", ""ja"")"
나루아티스트와 함께하는 '문화가 있는 날' [살롱음악회] (3월),"=GOOGLETRANSLATE(A9, ""ko"", ""ja"")"
나루아트센터,"=GOOGLETRANSLATE(A10, ""ko"", ""ja"")"
서울특별시 광진구 능동로 76 (자양동),"=GOOGLETRANSLATE(A11, ""ko"", ""ja"")"
"전석 1,000원","=GOOGLETRANSLATE(A12, ""ko"", ""ja"")"
"2026 까망돌어울마당 아트홀 상반기 정기 기획공연 [까망돌 칸타빌레] 3회차 모어바운스의 [More Bounce, Unbound]","=GOOGLETRANSLATE(A13, ""ko"", ""ja"")"
까망돌어울마당 아트홀,"=GOOGLETRANSLATE(A14, ""ko"", ""ja"")"
서울 동작구 서달로 129,"=GOOGLETRANSLATE(A15, ""ko"", ""ja"")"
바이올리니스트 김혜란의 [VIOLIN EMOTION Ⅸ],"=GOOGLETRANSLATE(A16, ""ko"", ""ja"")"
서울특별시 서대문구 연세로 50 (신촌동) 연세대학교 백양누리 B1 금호아트홀 연세,"=GOOGLETRANSLATE(A17, ""ko"", ""ja"")"
전석 3만원,"=GOOGLETRANSLATE(A18, ""ko"", ""ja"")"
M 마티네 [2026 MAC 모닝 콘서트] ＃1,"=GOOGLETRANSLATE(A19, ""ko"", ""ja"")"
"전석 20,000원[패키지권 구매 시 20% 할인]","=GOOGLETRANSLATE(A20, ""ko"", ""ja"")"
3월 테마전시체험전 - 테마로 즐기는 도서관 [나홀로 버스],"=GOOGLETRANSLATE(A21, ""ko"", ""ja"")"
아라타 미노 개인전 [조용한 생활과 사소한 점유],"=GOOGLETRANSLATE(A22, ""ko"", ""ja"")"
인가희갤러리,"=GOOGLETRANSLATE(A23, ""ko"", ""ja"")"
서울 용산구 소월로44길 29,"=GOOGLETRANSLATE(A24, ""ko"", ""ja"")"
모차르트 피아노 협주곡 전곡 시리즈 IV,"=GOOGLETRANSLATE(A25, ""ko"", ""ja"")"
반포심산아트홀,"=GOOGLETRANSLATE(A26, ""ko"", ""ja"")"
서울특별시 서초구 사평대로 55 (반포동),"=GOOGLETRANSLATE(A27, ""ko"", ""ja"")"
R석 2만원 S석 1만5천원,"=GOOGLETRANSLATE(A28, ""ko"", ""ja"")"
"2026 마티네 콘서트 [국악, 경계넘어 G-hwaja]","=GOOGLETRANSLATE(A29, ""ko"", ""ja"")"
강북문화예술회관,"=GOOGLETRANSLATE(A30, ""ko"", ""ja"")"
서울특별시 강북구 삼각산로 85 (수유동),"=GOOGLETRANSLATE(A31, ""ko"", ""ja"")"
전석 2만원(강북구민 1만원),"=GOOGLETRANSLATE(A32, ""ko"", ""ja"")"
김경헌의 오가선집(金經憲式 五歌選集),"=GOOGLETRANSLATE(A33, ""ko"", ""ja"")"
국립국악원,"=GOOGLETRANSLATE(A34, ""ko"", ""ja"")"
서울특별시 서초구 남부순환로 2364 (서초동) 국립국악원,"=GOOGLETRANSLATE(A35, ""ko"", ""ja"")"
2026년 3월26일 2시 [라라랜드] 배리어프리영화 상영,"=GOOGLETRANSLATE(A36, ""ko"", ""ja"")"
3월/읽는 인간 호모부커스Ⅰ [마구마구 야구 읽기],"=GOOGLETRANSLATE(A37, ""ko"", ""ja"")"
마포구립서강도서관,"=GOOGLETRANSLATE(A38, ""ko"", ""ja"")"
서울 마포구 독막로 165,"=GOOGLETRANSLATE(A39, ""ko"", ""ja"")"
문화예술아카데미 성인 미술 [드로잉 아틀리에],"=GOOGLETRANSLATE(A40, ""ko"", ""ja"")"
강동아트센터,"=GOOGLETRANSLATE(A41, ""ko"", ""ja"")"
서울특별시 강동구 동남로 870 (상일동),"=GOOGLETRANSLATE(A42, ""ko"", ""ja"")"
"180,000원(10회차)","=GOOGLETRANSLATE(A43, ""ko"", ""ja"")"
클로즈업 : 인생영화 [#2 찬실이는 복도 많지],"=GOOGLETRANSLATE(A44, ""ko"", ""ja"")"
"한-벨기에 수교 125주년 필립 그뤽 개인전 [YOURS TRULY, LE CAT]","=GOOGLETRANSLATE(A45, ""ko"", ""ja"")"
보자르갤러리,"=GOOGLETRANSLATE(A46, ""ko"", ""ja"")"
서울 강남구 도산대로99길 50-2,"=GOOGLETRANSLATE(A47, ""ko"", ""ja"")"
양육자 대상 [뮤지엄 휴휴프로그램9] 도장 만들기,"=GOOGLETRANSLATE(A48, ""ko"", ""ja"")"
서울백제어린이박물관,"=GOOGLETRANSLATE(A49, ""ko"", ""ja"")"
포스트 서브컬쳐,"=GOOGLETRANSLATE(A50, ""ko"", ""ja"")"
DDP(동대문디자인플라자),"=GOOGLETRANSLATE(A51, ""ko"", ""ja"")"
서울 중구 을지로 281,"=GOOGLETRANSLATE(A52, ""ko"", ""ja"")"
"성인 20,000원","=GOOGLETRANSLATE(A53, ""ko"", ""ja"")"
문화예술아카데미 어린이 성인 발레 [클래식 스완: 토슈즈반],"=GOOGLETRANSLATE(A54, ""ko"", ""ja"")"
"120,000원(10회차)","=GOOGLETRANSLATE(A55, ""ko"", ""ja"")"
아이들 콘서트 : 클래식 with 디토 오케스트라,"=GOOGLETRANSLATE(A56, ""ko"", ""ja"")"
종로 아이들극장,"=GOOGLETRANSLATE(A57, ""ko"", ""ja"")"
2026년 3월 서울역사문화답사 신청 안내,"=GOOGLETRANSLATE(A58, ""ko"", ""ja"")"
서소문성지 역사박물관,"=GOOGLETRANSLATE(A59, ""ko"", ""ja"")"
서울특별시 중구 칠패로 5 (의주로2가),"=GOOGLETRANSLATE(A60, ""ko"", ""ja"")"
2026 서울 유아차 런,"=GOOGLETRANSLATE(A61, ""ko"", ""ja"")"
광화문광장,"=GOOGLETRANSLATE(A62, ""ko"", ""ja"")"
서울특별시 종로구 세종대로 지하 172 (세종로),"=GOOGLETRANSLATE(A63, ""ko"", ""ja"")"
"50,000원 *불참시 참가비 환불은 불가합니다.","=GOOGLETRANSLATE(A64, ""ko"", ""ja"")"
하주애 신승훈 조인트 피아노 리사이틀,"=GOOGLETRANSLATE(A65, ""ko"", ""ja"")"
2026 로열인문학 [하루키가 사랑한 재즈],"=GOOGLETRANSLATE(A66, ""ko"", ""ja"")"
2026 서울시향 아주 특별한 콘서트,"=GOOGLETRANSLATE(A67, ""ko"", ""ja"")"
"R 30,000원 S 20,000원","=GOOGLETRANSLATE(A68, ""ko"", ""ja"")"
2026 시네마 퀘벡(Cinema Quebec),"=GOOGLETRANSLATE(A69, ""ko"", ""ja"")"
3월/어린이메이킹 [해봄아 노올자! 해봄맘껏Time],"=GOOGLETRANSLATE(A70, ""ko"", ""ja"")"
번개의 궤적 (The Path of Lightning),"=GOOGLETRANSLATE(A71, ""ko"", ""ja"")"
미오갤러리,"=GOOGLETRANSLATE(A72, ""ko"", ""ja"")"
서울 송파구 위례성대로12길 28,"=GOOGLETRANSLATE(A73, ""ko"", ""ja"")"
가톨릭대학교 서울성모병원 기탁 업무 협약 기념 특별전 [위안과 치유의 공명 共鳴],"=GOOGLETRANSLATE(A74, ""ko"", ""ja"")"
3월 [영어스토리텔링],"=GOOGLETRANSLATE(A75, ""ko"", ""ja"")"
성동구립도서관,"=GOOGLETRANSLATE(A76, ""ko"", ""ja"")"
서울 성동구 고산자로10길 9,"=GOOGLETRANSLATE(A77, ""ko"", ""ja"")"
2026 M 초이스 발레 [갓 GAT],"=GOOGLETRANSLATE(A78, ""ko"", ""ja"")"
"R석 80,000원, S석 60,000원","=GOOGLETRANSLATE(A79, ""ko"", ""ja"")"
기후 위기 특별 기획전 [사라지는 풍경들: 우리가 마주한 지구의 시간],"=GOOGLETRANSLATE(A80, ""ko"", ""ja"")"
공근혜갤러리 K.O.N.G. GALLERY,"=GOOGLETRANSLATE(A81, ""ko"", ""ja"")"
서울 종로구 삼청로7길 38,"=GOOGLETRANSLATE(A82, ""ko"", ""ja"")"
홍준호 개인전 [이름없는 흔적들],"=GOOGLETRANSLATE(A83, ""ko"", ""ja"")"
갤러리 무모,"=GOOGLETRANSLATE(A84, ""ko"", ""ja"")"
서울 송파구 가락로19길 5,"=GOOGLETRANSLATE(A85, ""ko"", ""ja"")"
오류를 거니는 산책자,"=GOOGLETRANSLATE(A86, ""ko"", ""ja"")"
서울대학교 미술관,"=GOOGLETRANSLATE(A87, ""ko"", ""ja"")"
서울 관악구 관악로 1,"=GOOGLETRANSLATE(A88, ""ko"", ""ja"")"
서울대학교미술관 02-880-9504,"=GOOGLETRANSLATE(A89, ""ko"", ""ja"")"
공예동행@쇼윈도 #1. 누적의 형상 Forms of Accumulation,"=GOOGLETRANSLATE(A90, ""ko"", ""ja"")"
"서울 속 미국, 워싱턴 속 대한제국 - 두 공사관 이야기","=GOOGLETRANSLATE(A91, ""ko"", ""ja"")"
뮤지컬 [긴긴밤],"=GOOGLETRANSLATE(A92, ""ko"", ""ja"")"
